"nuts2_codice","anno","popolazione","tasso_fertilita","aspettativa_vita"
"DE11","2018",4126688,1.58,80.2
"DE12","2018",2795783,1.52,79.5
"DE13","2018",2254674,1.61,80.2
"DE14","2018",1846280,1.62,80.4
"DE21","2018",4649534,1.55,80.8
"DE22","2018",1230037,1.53,78.6
"DE23","2018",1104407,1.56,78.5
"DE24","2018",1066840,1.49,78.1
"DE25","2018",1759643,1.56,78.7
"DE26","2018",1313375,1.53,79.4
"DE27","2018",1873368,1.62,80
"DE30","2018",3613495,1.45,78.5
"DE40","2018",2504040,1.62,78
"DE50","2018",681032,1.6,77.1
"DE60","2018",1830584,1.49,78.7
"DE71","2018",3978050,1.59,79.7
"DE72","2018",1045807,1.49,78.7
"DE73","2018",1219405,1.57,78.6
"DE80","2018",1611119,1.55,76.8
"DE91","2018",1595734,1.59,78
"DE92","2018",2144120,1.57,78.2
"DE93","2018",1706464,1.7,78.3
"DE94","2018",2516457,1.64,78.1
"DEA1","2018",5198820,1.59,78.1
"DEA2","2018",4454228,1.54,78.8
"DEA3","2018",2621153,1.66,78.5
"DEA4","2018",2054343,1.67,78.8
"DEA5","2018",3583590,1.59,77.7
"DEB1","2018",1493055,1.63,78.4
"DEB2","2018",529597,1.46,78.8
"DEB3","2018",2051027,1.6,78.8
"DEC0","2018",994187,1.47,77.4
"DED2","2018",1598573,1.62,78.6
"DED4","2018",1444953,1.7,77.7
"DED5","2018",1037782,1.49,77.9
"DEE0","2018",2223081,1.61,76.3
"DEF0","2018",2889821,1.58,78.2
"DEG0","2018",2151205,1.6,77.6
"DK01","2018",1822659,1.65,78.9
"DK02","2018",835024,1.83,78.3
"DK03","2018",1220763,1.78,79.1
"DK04","2018",1313596,1.81,79.4
"DK05","2018",589148,1.77,79.3
"EE00","2018",1319133,1.67,74
"EL30","2018",3756453,1.36,78.4
"EL41","2018",211137,1.63,80.2
"EL42","2018",340870,1.54,80.3
"EL43","2018",633506,1.52,80.1
"EL51","2018",601175,1.32,79.2
"EL52","2018",1875996,1.28,79.5
"EL53","2018",269222,1.26,80.6
"EL54","2018",334337,1.22,81.3
"EL61","2018",722065,1.32,80
"EL62","2018",204562,1.6,79.2
"EL63","2018",659470,1.29,79.2
"EL64","2018",555623,1.23,79.6
"EL65","2018",576749,1.35,79.4
"ES11","2018",2703149,1.04,80.4
"ES12","2018",1027624,1.03,79.8
"ES13","2018",581294,1.12,80.5
"ES21","2018",2170868,1.3,81.1
"ES22","2018",643866,1.39,81.6
"ES23","2018",312884,1.25,81
"ES24","2018",1313135,1.29,80.9
"ES30","2018",6549520,1.27,82.5
"ES41","2018",2418556,1.14,81.6
"ES42","2018",2032595,1.27,81.3
"ES43","2018",1070453,1.22,79.9
"ES51","2018",7488718,1.33,80.8
"ES52","2018",4946233,1.25,80.2
"ES53","2018",1166923,1.22,81.1
"ES61","2018",8410095,1.32,79.3
"ES62","2018",1475569,1.53,80.3
"ES63","2018",85209,1.7,79.3
"ES64","2018",84708,2.33,78.8
"ES70","2018",2177048,0.98,80
"FI19","2018",1380365,1.44,79.3
"FI1B","2018",1655624,1.33,79.8
"FI1C","2018",1157001,1.36,78.8
"FI1D","2018",1290651,1.53,78.4
"FI20","2018",29489,1.66,81.5
"FR10","2018",12213447,1.94,81.6
"FRB0","2018",2572853,1.87,79.5
"FRC1","2018",1628737,1.78,79
"FRC2","2018",1179070,1.83,79.4
"FRD1","2018",1471632,1.75,78.8
"FRD2","2018",1855845,1.9,78.2
"FRE1","2018",4072977,1.86,77.1
"FRE2","2018",1931131,1.86,78
"FRF1","2018",1898533,1.72,80
"FRF2","2018",1323396,1.76,78.1
"FRF3","2018",2328460,1.64,78.9
"FRG0","2018",3781423,1.86,80
"FRH0","2018",3335414,1.79,78.7
"FRI1","2018",3437398,1.64,80.3
"FRI2","2018",731285,1.69,78.8
"FRI3","2018",1811095,1.69,79.6
"FRJ1","2018",2830361,1.79,79.5
"FRJ2","2018",3055135,1.68,80.9
"FRK1","2018",1368536,1.76,79.2
"FRK2","2018",6625923,1.88,81.2
"FRL0","2018",5052832,1.96,80.3
"FRM0","2018",338554,1.42,81.3
"FRXX","2018",0,NA,NA
"FRY1","2018",421694,2.1,NA
"FRY2","2018",368783,1.91,79.3
"FRY3","2018",276128,3.78,NA
"FRY4","2018",855961,2.4,77.6
"FRY5","2018",259621,4.66,74.9
"HR03","2018",1378339,1.43,76.3
"HR04","2018",2727154,1.49,74.2
"HU11","2018",1749734,1.21,75.5
"HU12","2018",1261864,1.6,73.1
"HU21","2018",1055570,1.52,72.3
"HU22","2018",985457,1.47,73.1
"HU23","2018",886840,1.57,72.4
"HU31","2018",1134945,1.84,70.5
"HU32","2018",1460096,1.69,71.9
"HU33","2018",1243865,1.55,72.6
"HUXX","2018",0,NA,NA
"IE04","2018",856252,1.89,80.5
"IE05","2018",1604865,1.85,79.8
"IE06","2018",2369275,1.66,80.9
"IS00","2018",348450,1.71,81.3
"ITC1","2018",4375865,1.28,80.8
"ITC2","2018",126202,1.38,79.2
"ITC3","2018",1556981,1.23,80.8
"ITC4","2018",10036258,1.35,81.6
"ITF1","2018",1315196,1.19,81.2
"ITF2","2018",308493,1.09,80.5
"ITF3","2018",5826860,1.31,79.4
"ITF4","2018",4048242,1.22,81.4
"ITF5","2018",567118,1.13,80.5
"ITF6","2018",1956687,1.26,80.8
"ITG1","2018",5026989,1.34,80.1
"ITG2","2018",1648176,1.02,81
"ITH1","2018",527750,1.72,82.3
"ITH2","2018",539898,1.45,82.7
"ITH3","2018",4905037,1.33,81.7
"ITH4","2018",1215538,1.28,81.2
"ITH5","2018",4452629,1.34,81.8
"ITI1","2018",3736968,1.25,81.9
"ITI2","2018",884640,1.21,82.2
"ITI3","2018",1531753,1.22,82.2
"ITI4","2018",5896693,1.22,81.4
"LI00","2018",38114,1.58,80.7
"LT01","2018",805367,1.5,71.3
"LT02","2018",2003534,1.71,70.8
"LU00","2018",602005,1.38,80.1
"LV00","2018",1934379,1.6,70.1
"ME00","2018",622359,1.76,74.5
"MK00","2018",2075108,1.42,74.6
"MKXX","2018",193,NA,NA
"MT00","2018",475701,1.23,80.4
"NL11","2018",582944,1.39,79.7
"NL12","2018",647268,1.71,79.9
"NL13","2018",492100,1.68,79.8
"NL21","2018",1151501,1.69,80.2
"NL22","2018",2060103,1.66,80.2
"NL23","2018",411670,1.78,80.8
"NL31","2018",1295484,1.63,80.8
"NL32","2018",2831182,1.49,80.5
"NL33","2018",3681044,1.61,80.2
"NL34","2018",382304,1.72,80.4
"NL41","2018",2528286,1.58,80.4
"NL42","2018",1117198,1.45,80.2
"NO01","2018",1287495,1.5,81.9
"NO02","2018",386836,1.51,80.1
"NO03","2018",999639,1.56,81.2
"NO04","2018",777279,1.68,80.3
"NO05","2018",899627,1.64,81.6
"NO06","2018",458742,1.53,81.3
"NO07","2018",486001,1.54,80.4
"PL21","2018",3349498,1.53,75.3
"PL22","2018",4500863,1.41,73.5
"PL41","2018",3465605,1.57,73.9
"PL42","2018",1678873,1.36,73.5
"PL43","2018",1004127,1.38,72.9
"PL51","2018",2865358,1.39,73.1
"PL52","2018",948808,1.32,74.3
"PL61","2018",2059748,1.39,73.4
"PL62","2018",1408415,1.39,72.3
"PL63","2018",2294926,1.62,74.6
"PL71","2018",2462448,1.41,72
"PL72","2018",1232016,1.29,73.5
"PL81","2018",2105442,1.36,73.4
"PL82","2018",2085877,1.41,75.5
"PL84","2018",1154856,1.45,73.8
"PL91","2018",3025034,1.59,75.3
"PL92","2018",2334793,1.52,72.3
"PT11","2018",3576205,1.26,78.9
"PT15","2018",439617,1.72,76.9
"PT16","2018",2231346,1.27,78.7
"PT17","2018",2833679,1.72,78.5
"PT18","2018",711950,1.43,77.7
"PT20","2018",243862,1.29,73.9
"PT30","2018",254368,1.16,75
"RO11","2018",2560504,1.69,71.7
"RO11","2018",2560504,1.69,71.7
"RO12","2018",2325371,1.84,72.2
"RO12","2018",2325371,1.84,72.2
"RO21","2018",3222732,2.09,70.1
"RO21","2018",3222732,2.09,70.1
"RO22","2018",2423059,1.84,70.3
"RO22","2018",2423059,1.84,70.3
"RO31","2018",2965415,1.74,71.7
"RO31","2018",2965415,1.74,71.7
"RO32","2018",2302291,1.53,73.5
"RO32","2018",2302291,1.53,73.5
"RO41","2018",1949813,1.66,72.7
"RO41","2018",1949813,1.66,72.7
"RO42","2018",1784296,1.6,72.1
"RO42","2018",1784296,1.6,72.1
"RS11","2018",1688466,1.49,74.4
"RS12","2018",1866815,1.48,72.5
"RS21","2018",1932780,1.5,74
"RS22","2018",1513383,1.41,73
"SE11","2018",2308143,1.66,81.3
"SE12","2018",1687810,1.76,80.9
"SE21","2018",856887,1.88,81.2
"SE22","2018",1504060,1.76,80.7
"SE23","2018",2015607,1.74,81
"SE31","2018",852201,1.89,80.3
"SE32","2018",375774,1.9,80.3
"SE33","2018",519760,1.69,80
"SI03","2018",1089717,1.64,77.5
"SI04","2018",977163,1.58,79.8
"SK01","2018",650838,1.7,75.6
"SK02","2018",1828428,1.35,74
"SK03","2018",1340811,1.48,73.4
"SK04","2018",1623043,1.66,73.6
"TR10","2018",15029231,1.72,76.5
"TR21","2018",1768368,1.72,74.9
"TR22","2018",1735241,1.6,75.3
"TR31","2018",4279677,1.59,76.3
"TR32","2018",3038325,1.71,76.8
"TR33","2018",3065961,1.74,75
"TR41","2018",4019116,1.77,75.8
"TR42","2018",3805481,1.89,75.9
"TR51","2018",5445026,1.65,77.1
"TR52","2018",2426821,2.05,76.3
"TR61","2018",3063005,1.71,77.3
"TR62","2018",4010406,2.08,76.2
"TR63","2018",3230573,2.42,77
"TR71","2018",1560774,1.87,75.8
"TR72","2018",2416673,1.88,76.1
"TR81","2018",1034922,1.44,75.4
"TR82","2018",765874,1.6,75.9
"TR83","2018",2773386,1.71,76.2
"TR90","2018",2633417,1.68,77.3
"TRA1","2018",1072404,2.08,76.6
"TRA2","2018",1115810,2.81,75.5
"TRB1","2018",1726199,1.95,77.4
"TRB2","2018",2128670,2.94,75.9
"TRC1","2018",2756910,2.79,75.8
"TRC2","2018",3685654,3.57,76.2
"TRC3","2018",2222601,3.17,NA
"UKC1","2018",1197992,1.66,78
"UKC2","2018",1450223,1.53,77.8
"UKD1","2018",498216,1.7,79.8
"UKD3","2018",2808080,1.74,78.3
"UKD4","2018",1490434,1.78,78
"UKD6","2018",927799,1.74,80
"UKD7","2018",1547607,1.66,77.7
"UKE1","2018",931065,1.71,79
"UKE2","2018",820874,1.58,80.5
"UKE3","2018",1397266,1.58,78.4
"UKE4","2018",2313390,1.8,78.3
"UKF1","2018",2199851,1.61,79.3
"UKF2","2018",1828762,1.75,79.9
"UKF3","2018",752671,1.67,79
"UKG1","2018",1344393,1.75,80.1
"UKG2","2018",1619877,1.75,79.2
"UKG3","2018",2908821,1.79,78.2
"UKH1","2018",2509078,1.74,80.4
"UKH2","2018",1859787,1.84,80.4
"UKH3","2018",1828948,1.84,80.3
"UKI3","2018",1173602,1.25,82.9
"UKI4","2018",2402934,1.44,80
"UKI5","2018",1924106,1.89,80.4
"UKI6","2018",1308866,1.75,80.9
"UKI7","2018",2090315,1.83,81.4
"UKJ1","2018",2402507,1.79,81.6
"UKJ2","2018",2892767,1.69,81.2
"UKJ3","2018",1985074,1.65,80.8
"UKJ4","2018",1840563,1.83,79.7
"UKK1","2018",2496022,1.66,80.5
"UKK2","2018",1329868,1.7,80.5
"UKK3","2018",564588,1.72,79.5
"UKK4","2018",1187825,1.62,80
"UKL1","2018",1963646,1.65,78
"UKL2","2018",1162876,1.63,79.1
"UKM5","2018",494624,1.44,78.3
"UKM6","2018",470743,1.58,78.4
"UKM7","2018",1988307,1.34,78
"UKM8","2018",1536415,1.37,75.5
"UKM9","2018",946837,1.61,77.4
"UKN0","2018",1875957,1.86,79.1
"AL01","2019",813758,1.59,77.3
"AL02","2019",1170142,1.28,80
"AL03","2019",878527,1.23,76
"ALXX","2019",0,NA,NA
"AT11","2019",293433,1.39,79.4
"AT12","2019",1677542,1.5,79.5
"AT13","2019",1897491,1.35,78.6
"AT21","2019",560939,1.4,79.6
"AT22","2019",1243052,1.41,79.6
"AT31","2019",1482095,1.6,80.1
"AT32","2019",555221,1.58,80.5
"AT33","2019",754705,1.46,80.8
"AT34","2019",394297,1.68,81.1
"BE10","2019",1215290,1.68,79.1
"BE21","2019",1860470,1.63,81.2
"BE22","2019",875842,1.47,81.3
"BE23","2019",1516283,1.5,80.2
"BE24","2019",1146643,1.58,81.3
"BE25","2019",1196995,1.57,80.7
"BE31","2019",404270,1.53,80.6
"BE32","2019",1346082,1.6,76.6
"BE33","2019",1110068,1.61,78.5
"BE34","2019",286685,1.74,77.5
"BE35","2019",496891,1.51,77.8
"BG31","2019",742304,1.77,70.4
"BG32","2019",784168,1.43,71.2
"BG33","2019",929035,1.52,71.5
"BG34","2019",1032079,1.87,70.9
"BG41","2019",2102205,1.42,72.5
"BG42","2019",1410248,1.66,72
"CH01","2019",1642580,1.47,82.4
"CH02","2019",1877154,1.5,81.8
"CH03","2019",1161105,1.5,82.3
"CH04","2019",1520968,1.42,82.3
"CH05","2019",1176321,1.53,81.6
"CH06","2019",813056,1.54,82.7
"CH07","2019",353343,1.26,83
"CY00","2019",875899,1.33,80.3
"CZ01","2019",1308632,1.52,78.6
"CZ02","2019",1369332,1.76,76.6
"CZ03","2019",1226805,1.72,76.6
"CZ04","2019",1115685,1.71,74.8
"CZ05","2019",1513693,1.76,77
"CZ06","2019",1696941,1.77,76.8
"CZ07","2019",1215413,1.67,76
"CZ08","2019",1203299,1.66,74.5
"DE11","2019",4143418,1.58,80.4
"DE12","2019",2805129,1.51,79.6
"DE13","2019",2264469,1.6,80.2
"DE14","2019",1856517,1.61,80.3
"DE21","2019",4686163,1.52,80.9
"DE22","2019",1238528,1.56,79.4
"DE23","2019",1109269,1.59,79.1
"DE24","2019",1067482,1.52,78.7
"DE25","2019",1770401,1.54,79
"DE26","2019",1317124,1.56,80
"DE27","2019",1887754,1.63,80
"DE30","2019",3644826,1.41,79.1
"DE40","2019",2511917,1.59,78.4
"DE50","2019",682986,1.6,78
"DE60","2019",1841179,1.46,79.2
"DE71","2019",3998724,1.55,80.1
"DE72","2019",1047262,1.45,78.8
"DE73","2019",1219823,1.58,79
"DE80","2019",1609675,1.54,77.3
"DE91","2019",1596396,1.55,78.4
"DE92","2019",2149805,1.53,78.4
"DE93","2019",1710914,1.68,78.5
"DE94","2019",2525333,1.66,78.6
"DEA1","2019",5202321,1.55,78.4
"DEA2","2019",4468904,1.5,79.2
"DEA3","2019",2623619,1.62,78.7
"DEA4","2019",2055310,1.66,79.2
"DEA5","2019",3582497,1.58,78
"DEB1","2019",1495885,1.62,79
"DEB2","2019",531007,1.49,79.6
"DEB3","2019",2057952,1.54,79.2
"DEC0","2019",990509,1.45,77.9
"DED2","2019",1598199,1.6,79.1
"DED4","2019",1436445,1.68,77.8
"DED5","2019",1043293,1.42,78.1
"DEE0","2019",2208321,1.56,77
"DEF0","2019",2896712,1.54,78.6
"DEG0","2019",2143145,1.56,78
"DK01","2019",1835562,1.66,79.4
"DK02","2019",836738,1.76,79
"DK03","2019",1223348,1.73,79.4
"DK04","2019",1320678,1.75,80.1
"DK05","2019",589755,1.75,79.4
"EE00","2019",1324820,1.66,74.5
"EL30","2019",3742235,1.35,78.4
"EL41","2019",221098,1.6,80.3
"EL42","2019",344027,1.62,80.5
"EL43","2019",634930,1.54,79.4
"EL51","2019",599723,1.3,78.9
"EL52","2019",1873777,1.27,79.4
"EL53","2019",267008,1.26,80.1
"EL54","2019",333696,1.24,81.7
"EL61","2019",718640,1.28,79.7
"EL62","2019",203869,1.55,79.6
"EL63","2019",655189,1.32,79.1
"EL64","2019",555960,1.12,79.5
"EL65","2019",574447,1.32,79.5
"ES11","2019",2700441,1.02,81
"ES12","2019",1022205,0.96,80.1
"ES13","2019",581641,1.07,81.1
"ES21","2019",2177880,1.28,81.4
"ES22","2019",649946,1.4,82.4
"ES23","2019",313571,1.32,81.3
"ES24","2019",1320586,1.26,81.5
"ES30","2019",6641649,1.23,83
"ES41","2019",2407733,1.13,81.8
"ES42","2019",2034877,1.25,81.5
"ES43","2019",1065424,1.22,80.2
"ES51","2019",7566431,1.29,81.3
"ES52","2019",4974969,1.25,80.7
"ES53","2019",1188220,1.14,81.7
"ES61","2019",8427405,1.31,79.8
"ES62","2019",1487663,1.5,80.3
"ES63","2019",84829,1.5,79
"ES64","2019",84689,2.17,78.8
"ES70","2019",2206901,0.94,80.9
"FI19","2019",1379749,1.4,79.7
"FI1B","2019",1671024,1.28,79.9
"FI1C","2019",1152719,1.3,78.7
"FI1D","2019",1284638,1.44,78.9
"FI20","2019",29789,1.57,81.7
"FR10","2019",12252917,1.93,81.8
"FRB0","2019",2569510,1.88,79.6
"FRC1","2019",1623815,1.75,79.3
"FRC2","2019",1177762,1.8,79.7
"FRD1","2019",1467715,1.77,79
"FRD2","2019",1853117,1.88,78.5
"FRE1","2019",4066719,1.86,77.6
"FRE2","2019",1929189,1.84,78.3
"FRF1","2019",1903646,1.69,80.5
"FRF2","2019",1317548,1.79,78.4
"FRF3","2019",2322213,1.64,79
"FRG0","2019",3800348,1.85,80.1
"FRH0","2019",3347004,1.78,79
"FRI1","2019",3458041,1.64,80.3
"FRI2","2019",728859,1.7,78.9
"FRI3","2019",1812353,1.72,79.6
"FRJ1","2019",2847554,1.78,80.1
"FRJ2","2019",3071427,1.67,81
"FRK1","2019",1370432,1.73,79.3
"FRK2","2019",6660101,1.87,81.2
"FRL0","2019",5065696,1.96,80.5
"FRM0","2019",342256,1.41,81.5
"FRXX","2019",0,NA,NA
"FRY1","2019",417161,2.3,77.8
"FRY2","2019",364413,2,78.7
"FRY3","2019",282107,3.73,NA
"FRY4","2019",856547,2.39,77.5
"FRY5","2019",269186,4.6,75.5
"HR03","2019",1374071,1.42,76.9
"HR04","2019",2702175,1.49,74.7
"HU11","2019",1752286,1.19,75.8
"HU12","2019",1278874,1.63,73.8
"HU21","2019",1058236,1.55,72.6
"HU22","2019",989343,1.48,73.8
"HU23","2019",879596,1.58,72.5
"HU31","2019",1126360,1.83,70.7
"HU32","2019",1450960,1.73,71.8
"HU33","2019",1237101,1.55,72.8
"HUXX","2019",0,NA,NA
"IE04","2019",867947,1.87,81.1
"IE05","2019",1624381,1.76,80.4
"IE06","2019",2411912,1.64,81
"IS00","2019",356991,1.74,81.7
"ITC1","2019",4356406,1.26,81
"ITC2","2019",125666,1.31,80.7
"ITC3","2019",1550640,1.2,81.2
"ITC4","2019",10060574,1.32,81.9
"ITF1","2019",1311580,1.16,81.5
"ITF2","2019",305617,1.15,80.9
"ITF3","2019",5801692,1.3,79.9
"ITF4","2019",4029053,1.19,81.7
"ITF5","2019",562869,1.14,80.7
"ITF6","2019",1947131,1.25,80.6
"ITG1","2019",4999891,1.32,80.3
"ITG2","2019",1639591,0.99,80.8
"ITH1","2019",531178,1.71,82.2
"ITH2","2019",541098,1.42,82.4
"ITH3","2019",4905854,1.29,82
"ITH4","2019",1215220,1.24,81.6
"ITH5","2019",4459477,1.3,81.9
"ITI1","2019",3729641,1.2,82
"ITI2","2019",882015,1.19,82.3
"ITI3","2019",1525271,1.19,82.3
"ITI4","2019",5879082,1.17,81.7
"LI00","2019",38378,1.48,82.6
"LT01","2019",810538,1.44,71.8
"LT02","2019",1983646,1.69,71.4
"LU00","2019",613894,1.34,80.2
"LV00","2019",1919968,1.61,70.9
"ME00","2019",622182,1.77,74
"MK00","2019",2076953,1.34,74.7
"MKXX","2019",179,NA,NA
"MT00","2019",493559,1.14,81.2
"NL11","2019",583990,1.41,79.4
"NL12","2019",647672,1.75,80.4
"NL13","2019",492167,1.73,80.3
"NL21","2019",1156431,1.68,80.4
"NL22","2019",2071972,1.65,80.7
"NL23","2019",416546,1.77,80.9
"NL31","2019",1306912,1.62,81.3
"NL32","2019",2853359,1.46,80.8
"NL33","2019",3709139,1.6,80.6
"NL34","2019",383032,1.73,80.8
"NL41","2019",2544806,1.55,80.6
"NL42","2019",1116137,1.43,80.1
"NO01","2019",1305122,1.47,82
"NO02","2019",386951,1.48,80.5
"NO03","2019",1005070,1.53,80.9
"NO04","2019",780898,1.64,81.3
"NO05","2019",901689,1.6,81.7
"NO06","2019",462032,1.52,81.5
"NO07","2019",486450,1.49,80
"PL21","2019",3360545,1.51,75.4
"PL22","2019",4488998,1.38,74
"PL41","2019",3473172,1.55,74.4
"PL42","2019",1675502,1.32,73.7
"PL43","2019",1003310,1.35,72.9
"PL51","2019",2865072,1.38,73.5
"PL52","2019",946038,1.33,74.4
"PL61","2019",2055433,1.39,73.8
"PL62","2019",1404441,1.35,72.9
"PL63","2019",2305077,1.62,74.9
"PL71","2019",2453167,1.36,72.6
"PL72","2019",1226243,1.26,73.8
"PL81","2019",2097294,1.34,73.9
"PL82","2019",2086135,1.38,75.4
"PL84","2019",1152074,1.42,74.2
"PL91","2019",3053104,1.6,75.8
"PL92","2019",2327207,1.51,72.7
"PT11","2019",3572583,1.26,79.3
"PT15","2019",438864,1.78,76.7
"PT16","2019",2216569,1.28,78.9
"PT17","2019",2846332,1.75,79.1
"PT18","2019",705478,1.44,77.3
"PT20","2019",242846,1.24,76
"PT30","2019",253945,1.16,75.1
"RO11","2019",2552112,1.69,72.1
"RO12","2019",2318272,1.85,72.5
"RO21","2019",3198564,2.14,70.7
"RO22","2019",2396171,1.84,70.1
"RO31","2019",2929832,1.76,71.8
"RO32","2019",2315173,1.55,73.6
"RO41","2019",1926860,1.64,72.8
"RO42","2019",1777474,1.58,72.3
"RS11","2019",1691919,1.52,74.7
"RS12","2019",1856911,1.5,72.3
"RS21","2019",1916855,1.53,73.7
"RS22","2019",1498079,1.46,73.1
"SE11","2019",2344124,1.61,81.9
"SE12","2019",1708813,1.72,81.4
"SE21","2019",864630,1.83,81.9
"SE22","2019",1521848,1.72,81.6
"SE23","2019",2039166,1.71,81.4
"SE31","2019",855220,1.78,80.8
"SE32","2019",375733,1.82,80.4
"SE33","2019",520651,1.7,80.6
"SI03","2019",1094435,1.68,77.6
"SI04","2019",986473,1.55,80.1
"SK01","2019",659598,1.65,76.2
"SK02","2019",1826145,1.4,74.7
"SK03","2019",1339242,1.49,73.3
"SK04","2019",1625436,1.69,74.1
"TR10","2019",15067724,1.59,76.9
"TR21","2019",1802315,1.61,75.6
"TR22","2019",1767237,1.51,75.6
"TR31","2019",4320519,1.48,76.4
"TR32","2019",3093015,1.61,76.9
"TR33","2019",3100666,1.66,75.2
"TR41","2019",4089156,1.66,76.3
"TR42","2019",3878979,1.78,76.3
"TR51","2019",5503985,1.53,77.2
"TR52","2019",2457522,1.92,76.6
"TR61","2019",3137694,1.59,77.4
"TR62","2019",4034593,1.94,76
"TR63","2019",3289122,2.3,77
"TR71","2019",1603688,1.77,76.1
"TR72","2019",2461269,1.78,76.7
"TR81","2019",1046711,1.38,76.7
"TR82","2019",819468,1.56,76.3
"TR83","2019",2822353,1.64,76.4
"TR90","2019",2719113,1.6,77.5
"TRA1","2019",1086156,2.01,76.9
"TRA2","2019",1124898,2.71,75.9
"TRB1","2019",1762077,1.87,77.4
"TRB2","2019",2167642,2.84,76.3
"TRC1","2019",2795617,2.59,75.2
"TRC2","2019",3768205,3.36,75.6
"TRC3","2019",2284158,2.99,77.4
"UKC1","2019",1201543,NA,NA
"UKC2","2019",1455437,NA,NA
"UKD1","2019",498083,NA,NA
"UKD3","2019",2822003,NA,NA
"UKD4","2019",1495318,NA,NA
"UKD6","2019",931347,NA,NA
"UKD7","2019",1553324,NA,NA
"UKE1","2019",932645,NA,NA
"UKE2","2019",824054,NA,NA
"UKE3","2019",1404971,NA,NA
"UKE4","2019",2324560,NA,NA
"UKF1","2019",2210381,NA,NA
"UKF2","2019",1843764,NA,NA
"UKF3","2019",756920,NA,NA
"UKG1","2019",1352539,NA,NA
"UKG2","2019",1626956,NA,NA
"UKG3","2019",2928377,NA,NA
"UKH1","2019",2521676,NA,NA
"UKH2","2019",1871847,NA,NA
"UKH3","2019",1841887,NA,NA
"UKI3","2019",1190513,NA,NA
"UKI4","2019",2430890,NA,NA
"UKI5","2019",1940638,NA,NA
"UKI6","2019",1316772,NA,NA
"UKI7","2019",2103443,NA,NA
"UKJ1","2019",2417428,NA,NA
"UKJ2","2019",2909838,NA,NA
"UKJ3","2019",1993050,NA,NA
"UKJ4","2019",1854717,NA,NA
"UKK1","2019",2516568,NA,NA
"UKK2","2019",1336003,NA,NA
"UKK3","2019",568612,NA,NA
"UKK4","2019",1195198,NA,NA
"UKL1","2019",1968383,NA,NA
"UKL2","2019",1168000,NA,NA
"UKM5","2019",495365,NA,NA
"UKM6","2019",470990,NA,NA
"UKM7","2019",1998699,NA,NA
"UKM8","2019",1541998,NA,NA
"UKM9","2019",947186,NA,NA
"AL01","2020",804689,NA,NA
"AL02","2020",1176240,NA,NA
"AL03","2020",865026,NA,NA
"AT11","2020",294436,NA,NA
"AT12","2020",1684287,NA,NA
"AT13","2020",1911191,NA,NA
"AT21","2020",561293,NA,NA
"AT22","2020",1246395,NA,NA
"AT31","2020",1490279,NA,NA
"AT32","2020",558410,NA,NA
"AT33","2020",757634,NA,NA
"AT34","2020",397139,NA,NA
"BE10","2020",1223364,NA,NA
"BE21","2020",1873095,NA,NA
"BE22","2020",880602,NA,NA
"BE23","2020",1526486,NA,NA
"BE24","2020",1156470,NA,NA
"BE25","2020",1202352,NA,NA
"BE31","2020",406794,NA,NA
"BE32","2020",1350295,NA,NA
"BE33","2020",1113943,NA,NA
"BE34","2020",289606,NA,NA
"BE35","2020",499433,NA,NA
"BG31","2020",728157,NA,NA
"BG32","2020",773450,NA,NA
"BG33","2020",924870,NA,NA
"BG34","2020",1024115,NA,NA
"BG41","2020",2094260,NA,NA
"BG42","2020",1406630,NA,NA
"CH01","2020",1654751,NA,NA
"CH02","2020",1886584,NA,NA
"CH03","2020",1171157,NA,NA
"CH04","2020",1539275,NA,NA
"CH05","2020",1183813,NA,NA
"CH06","2020",818962,NA,NA
"CH07","2020",351491,NA,NA
"CY00","2020",888005,NA,NA
"CZ01","2020",1324277,NA,NA
"CZ02","2020",1385141,NA,NA
"CZ03","2020",1233982,NA,NA
"CZ04","2020",1115629,NA,NA
"CZ05","2020",1517999,NA,NA
"CZ06","2020",1701802,NA,NA
"CZ07","2020",1214570,NA,NA
"CZ08","2020",1200539,NA,NA
"DE11","2020",4154223,NA,NA
"DE12","2020",2810854,NA,NA
"DE13","2020",2271351,NA,NA
"DE14","2020",1863966,NA,NA
"DE21","2020",4710865,NA,NA
"DE22","2020",1244169,NA,NA
"DE23","2020",1112102,NA,NA
"DE24","2020",1065371,NA,NA
"DE25","2020",1775169,NA,NA
"DE26","2020",1317619,NA,NA
"DE27","2020",1899442,NA,NA
"DE30","2020",3669491,NA,NA
"DE40","2020",2521893,NA,NA
"DE50","2020",681202,NA,NA
"DE60","2020",1847253,NA,NA
"DE71","2020",4019961,NA,NA
"DE72","2020",1048646,NA,NA
"DE73","2020",1219473,NA,NA
"DE80","2020",1608138,NA,NA
"DE91","2020",1594929,NA,NA
"DE92","2020",2148238,NA,NA
"DE93","2020",1716448,NA,NA
"DE94","2020",2533993,NA,NA
"DEA1","2020",5207457,NA,NA
"DEA2","2020",4478847,NA,NA
"DEA3","2020",2624625,NA,NA
"DEA4","2020",2055724,NA,NA
"DEA5","2020",3580568,NA,NA
"DEB1","2020",1498223,NA,NA
"DEB2","2020",533113,NA,NA
"DEB3","2020",2062567,NA,NA
"DEC0","2020",986887,NA,NA
"DED2","2020",1596566,NA,NA
"DED4","2020",1426380,NA,NA
"DED5","2020",1049025,NA,NA
"DEE0","2020",2194782,NA,NA
