"Ateco Code","Description","Registered","Active","Signed","Ceased","Change","Registered Societ√† di capitale","Active Societ√† di capitale","Signed Societ√† di capitale","Ceased Societ√† di capitale","Change Societ√† di capitale","Registered Societ√† di persone","Active Societ√† di persone","Signed Societ√† di persone","Ceased Societ√† di persone","Change Societ√† di eersone","Registered Ditte individuali","Active Ditte individuali","Signed Ditte individuali","Ceased Ditte individuali","Change Ditte individuali","Registered Other forms","Active Other forms","Signed Other forms","Ceased Other forms","Change Other forms","Year","Percentage active","Percentage change active","Percentage change active Societ√† di capitale","Percentage change active Societ√† di persone","Percentage change active Ditte individuali","Percentage change active Other forms","Percentage change ceased","Percentage change ceased Societ√† di capitale","Percentage change ceased Societ√† di persone","Percentage change ceased Ditte individuali","Percentage change ceased Other forms"
"N","Noleggio, agenzie di viaggio, servizi di supporto alle im.. ",201369,182538,12946,13215,5436,60783,50428,1952,2337,3725,22971,19832,288,1121,287,99065,97916,10337,8956,781,18550,14362,369,801,643,"2018",90.65,26625.92,18716.42,11232.57,43808.52,84382.35,69452.63,58325,22320,99411.11,80000
"N77","Attivit‡ di noleggio e leasing operativo                    ",21921,19117,928,1374,856,11090,9144,358,458,640,3268,2713,41,176,43,7058,6850,520,724,157,505,410,9,16,16,"2018",87.21,-89.53,-81.87,-86.32,-93,-97.15,-89.6,-80.4,-84.3,-91.92,-98
"N78","Attivit‡ di ricerca, selezione, fornitura di personale      ",1106,942,13,51,22,713,608,10,30,14,163,142,1,6,2,113,111,2,10,1,117,81,0,5,5,"2018",85.17,-95.07,-93.35,-94.77,-98.38,-80.24,-96.29,-93.45,-96.59,-98.62,-68.75
"N79","Attivit‡ dei servizi delle agenzie di viaggio, dei tour o.. ",18526,16058,555,864,612,8312,6629,124,255,410,3518,3023,19,167,17,5535,5437,385,392,135,1161,969,27,50,50,"2018",86.68,1604.67,990.3,2028.87,4798.2,1096.3,1594.12,750,2683.33,3820,900
"N80","Servizi di vigilanza e investigazione                       ",3803,3158,96,188,156,2045,1615,39,69,141,329,265,1,20,-5,1042,1026,53,83,16,387,252,3,16,4,"2018",83.04,-80.33,-75.64,-91.23,-81.13,-73.99,-78.24,-72.94,-88.02,-78.83,-68
"N81","Attivit‡ di servizi per edifici e paesaggio                 ",74859,69264,5140,4662,1464,12398,10433,506,368,871,6428,5500,97,253,72,47905,47392,4434,3717,271,8128,5939,103,324,250,"2018",92.53,2093.29,546.01,1975.47,4519.1,2256.75,2379.79,433.33,1165,4378.31,1925
"N82","Attivit‡ di supporto per le funzioni d'ufficio e altri se.. ",81154,73999,6214,6076,2326,26225,21999,915,1157,1649,9265,8189,129,499,158,37412,37100,4943,4030,201,8252,6711,227,390,318,"2018",91.18,6.84,110.86,48.89,-21.72,13,30.33,214.4,97.23,8.42,20.37
"O","Amministrazione pubblica e difesa; assicurazione sociale .. ",161,98,1,5,7,58,29,0,1,3,10,8,0,1,1,2,2,0,1,0,91,59,1,2,3,"2018",60.87,-99.87,-99.87,-99.9,-99.99,-99.12,-99.92,-99.91,-99.8,-99.98,-99.49
"O84","Amministrazione pubblica e difesa; assicurazione sociale .. ",161,98,1,5,7,58,29,0,1,3,10,8,0,1,1,2,2,0,1,0,91,59,1,2,3,"2018",60.87,0,0,0,0,0,0,0,0,0,0
"P","Istruzione                                                  ",30863,28332,1336,1364,884,9711,8314,361,317,662,4577,4199,58,192,70,6569,6520,599,525,92,10006,9299,318,330,60,"2018",91.8,28810.2,28568.97,52387.5,325900,15661.02,27180,31600,19100,52400,16400
