"Ateco Code","Description","Registered","Active","Signed","Ceased","Change","Registered Societ√† di capitale","Active Societ√† di capitale","Signed Societ√† di capitale","Ceased Societ√† di capitale","Change Societ√† di capitale","Registered Societ√† di persone","Active Societ√† di persone","Signed Societ√† di persone","Ceased Societ√† di persone","Change Societ√† di eersone","Registered Ditte individuali","Active Ditte individuali","Signed Ditte individuali","Ceased Ditte individuali","Change Ditte individuali","Registered Other forms","Active Other forms","Signed Other forms","Ceased Other forms","Change Other forms","Year","Percentage active","Percentage change active","Percentage change active Societ√† di capitale","Percentage change active Societ√† di persone","Percentage change active Ditte individuali","Percentage change active Other forms","Percentage change ceased","Percentage change ceased Societ√† di capitale","Percentage change ceased Societ√† di persone","Percentage change ceased Ditte individuali","Percentage change ceased Other forms"
"A","Agricoltura, silvicoltura pesca                             ",859808,850999,28115,49042,3020,12814,10650,309,324,864,58032,56281,2075,1734,872,773425,772785,25607,46527,990,15537,11283,124,457,294,"2010",98.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A01","Coltivazioni agricole e produzione di prodotti animali, c.. ",837033,829134,27002,47822,2724,11753,9815,290,294,802,54648,53150,2027,1625,797,757354,756779,24577,45501,901,13278,9390,108,402,224,"2010",99.06,-2.57,-7.84,-5.56,-2.07,-16.78,-2.49,-9.26,-6.29,-2.21,-12.04
"A02","Silvicoltura ed utilizzo di aree forestali                  ",10390,10045,647,603,150,568,486,16,16,38,1160,1066,35,44,22,7784,7743,585,519,62,878,750,11,24,28,"2010",96.68,-98.79,-95.05,-97.99,-98.98,-92.01,-98.74,-94.56,-97.29,-98.86,-94.03
"A03","Pesca e acquacoltura                                        ",12385,11820,466,617,146,493,349,3,14,24,2224,2065,13,65,53,8287,8263,445,507,27,1381,1143,5,31,42,"2010",95.44,17.67,-28.19,93.71,6.72,52.4,2.32,-12.5,47.73,-2.31,29.17
"B","Estrazione di minerali da cave e miniere                    ",5035,3848,17,223,72,2823,2127,7,80,65,1070,806,1,60,-2,956,815,9,74,6,186,100,0,9,3,"2010",76.43,-67.45,509.46,-60.97,-90.14,-91.25,-63.86,471.43,-7.69,-85.4,-70.97
"B05","Estrazione di carbone (esclusa torba)                       ",24,12,0,3,0,14,6,0,1,0,6,4,0,1,0,2,2,0,0,0,2,0,0,1,0,"2010",50,-99.69,-99.72,-99.5,-99.75,-100,-98.65,-98.75,-98.33,-100,-88.89
"B06","Estraz.di petrolio greggio e di gas naturale                ",77,56,0,3,1,55,36,0,1,1,2,1,0,0,0,16,16,0,1,0,4,3,0,1,0,"2010",72.73,366.67,500,-75,700,Inf,0,0,-100,Inf,0
"B07","Estrazione di minerali metalliferi                          ",73,29,0,3,-1,47,18,0,0,-1,16,7,0,2,0,6,2,0,1,0,4,2,0,0,0,"2010",39.73,-48.21,-50,600,-87.5,-33.33,0,-100,Inf,0,-100
"B08","Altre attivit‡ di estrazione di minerali da cave e miniere  ",4811,3711,14,213,69,2675,2040,5,77,64,1040,789,1,57,-2,927,791,8,72,5,169,91,0,7,2,"2010",77.14,12696.55,11233.33,11171.43,39450,4450,7000,Inf,2750,7100,Inf
"B09","Attivit‡ dei servizi di supporto all'estrazione             ",50,40,3,1,3,32,27,2,1,1,6,5,0,0,0,5,4,1,0,1,7,4,0,0,1,"2010",80,-98.92,-98.68,-99.37,-99.49,-95.6,-99.53,-98.7,-100,-100,-100
"C","Attivit‡ manifatturiere                                     ",627546,546379,21000,37340,8643,201599,153385,2827,6485,7232,152412,128079,1016,7342,1063,263207,258536,17014,23120,78,10328,6379,143,393,270,"2010",87.07,1365847.5,567992.59,2561480,6463300,159375,3733900,648400,Inf,Inf,Inf
"C10","Industrie alimentari                                        ",63885,56432,1413,2937,1324,13142,10002,119,374,655,20068,17417,138,649,461,27916,27291,1138,1813,159,2759,1722,18,101,49,"2010",88.33,-89.67,-93.48,-86.4,-89.44,-73.01,-92.13,-94.23,-91.16,-92.16,-74.3
"C11","Industria delle bevande                                     ",4013,3298,32,159,72,1883,1473,5,58,73,1010,867,3,41,4,785,735,24,54,-3,335,223,0,6,-2,"2010",82.18,-94.16,-85.27,-95.02,-97.31,-87.05,-94.59,-84.49,-93.68,-97.02,-94.06
"C12","Industria del tabacco                                       ",111,69,0,9,-2,57,37,0,5,-2,10,8,0,0,0,2,2,0,0,0,42,22,0,4,0,"2010",62.16,-97.91,-97.49,-99.08,-99.73,-90.13,-94.34,-91.38,-100,-100,-33.33
"C13","Industrie tessili                                           ",22740,18654,794,1741,269,8606,5988,119,333,187,5539,4411,28,439,31,8304,8115,643,952,43,291,140,4,17,8,"2010",82.03,26934.78,16083.78,55037.5,405650,536.36,19244.44,6560,Inf,Inf,325
"C14","Confezione di articoli di abbigliamento; confezione di ar.. ",61031,51261,4355,6282,599,16499,10786,206,722,440,11230,8405,85,783,89,32433,31636,4053,4737,48,869,434,11,40,22,"2010",83.99,174.8,80.13,90.55,289.85,210,260.83,116.82,78.36,397.58,135.29
"C15","Fabbricazione di articoli in pelle e simili                 ",27185,22459,1282,2068,242,8736,6045,102,325,217,6667,5068,32,433,-4,11526,11214,1140,1303,24,256,132,8,7,5,"2010",82.62,-56.19,-43.96,-39.7,-64.55,-69.59,-67.08,-54.99,-44.7,-72.49,-82.5
"C16","Industria del legno e dei prodotti in legno e sughero (es.. ",46397,42901,1040,2558,307,6573,5159,95,156,289,11608,10081,60,417,41,27713,27344,878,1967,-35,503,317,7,18,12,"2010",92.47,91.02,-14.66,98.91,143.84,140.15,23.69,-52,-3.7,50.96,157.14
"C17","Fabbricazione di carta e di prodotti di carta               ",5928,4759,117,276,99,3270,2495,31,103,101,1441,1135,6,81,-1,1102,1061,80,85,-6,115,68,0,7,5,"2010",80.28,-88.91,-51.64,-88.74,-96.12,-78.55,-89.21,-33.97,-80.58,-95.68,-61.11
"C18","Stampa e riproduzione di supporti registrati                ",23884,20495,650,1292,424,7336,5473,72,226,263,7305,6135,57,389,116,8611,8476,515,651,39,632,411,6,26,6,"2010",85.81,330.66,119.36,440.53,698.87,504.41,368.12,119.42,380.25,665.88,271.43
"C19","Fabbricazione di coke e prodotti derivanti dalla raffinaz.. ",604,419,4,25,1,501,349,2,15,6,66,42,0,8,-4,31,27,2,2,-1,6,1,0,0,0,"2010",69.37,-97.96,-93.62,-99.32,-99.68,-99.76,-98.07,-93.36,-97.94,-99.69,-100
"C20","Fabbricazione di prodotti chimici                           ",8311,6371,94,390,156,5624,4165,54,161,152,1556,1176,6,156,1,1041,977,33,72,0,90,53,1,1,3,"2010",76.66,1420.53,1093.41,2700,3518.52,5200,1460,973.33,1850,3500,Inf
"C21","Fabbricazione di prodotti farmaceutici di base e di prepa.. ",1085,836,3,60,23,948,732,2,38,26,88,65,1,21,-3,39,33,0,0,0,10,6,0,1,0,"2010",77.05,-86.88,-82.42,-94.47,-96.62,-88.68,-84.62,-76.4,-86.54,-100,0
"C22","Fabbricazione di articoli in gomma e materie plastiche      ",15417,12775,367,767,340,8346,6540,102,264,301,3661,2996,16,174,22,3178,3106,243,324,7,232,133,6,5,10,"2010",82.86,1428.11,793.44,4509.23,9312.12,2116.67,1178.33,594.74,728.57,Inf,400
"C23","Fabbricazione di altri prodotti della lavorazione di miner. ",33391,28761,737,1642,365,11717,8884,147,369,349,8512,7212,39,292,21,12631,12360,545,969,-19,531,305,6,12,14,"2010",86.13,125.14,35.84,140.72,297.94,129.32,114.08,39.77,67.82,199.07,140
"C24","Metallurgia                                                 ",5197,4030,57,229,52,3190,2372,28,102,71,1197,912,3,67,-11,747,712,26,58,-10,63,34,0,2,2,"2010",77.54,-85.99,-73.3,-87.35,-94.24,-88.85,-86.05,-72.36,-77.05,-94.01,-83.33
"C25","Fabbricazione di prodotti in metallo (esclusi macchinari .. ",121933,109646,3492,6675,964,36729,29967,566,941,1020,31640,27281,230,1360,6,52114,51406,2666,4307,-122,1450,992,30,67,60,"2010",89.92,2620.74,1163.36,2891.34,7119.94,2817.65,2814.85,822.55,1929.85,7325.86,3250
"C26","Fabbricazione di computer e prodotti di elettronica e ott.. ",14936,12038,284,772,230,8269,6141,102,275,279,2802,2172,10,186,-14,3633,3577,170,304,-40,232,148,2,7,5,"2010",80.6,-89.02,-79.51,-92.04,-93.04,-85.08,-88.43,-70.78,-86.32,-92.94,-89.55
"C27","Fabbricazione di apparecchiature elettriche ed apparecchi.. ",17524,14629,467,990,360,8951,6948,176,314,389,3810,3134,23,233,-22,4499,4384,263,433,-13,264,163,5,10,6,"2010",83.48,21.52,13.14,44.29,22.56,10.14,28.24,14.18,25.27,42.43,42.86
"C28","Fabbricazione di macchinari ed apparecchiature nca          ",39348,33330,688,1861,587,21297,16830,322,644,816,7739,6492,45,420,-69,9922,9763,313,783,-184,390,245,8,14,24,"2010",84.71,127.84,142.23,107.15,122.7,50.31,87.98,105.1,80.26,80.83,40
"C29","Fabbricazione di autoveicoli, rimorchi e semirimorchi       ",4582,3630,88,204,144,2707,2034,32,90,122,919,757,4,46,7,873,802,52,65,12,83,37,0,3,3,"2010",79.22,-89.11,-87.91,-88.34,-91.79,-84.9,-89.04,-86.02,-89.05,-91.7,-78.57
"C30","Fabbricazione di altri mezzi di trasporto                   ",8199,6842,239,520,140,3832,2867,77,140,163,1450,1173,11,66,-5,2700,2662,149,305,-20,217,140,2,9,2,"2010",83.45,88.48,40.95,54.95,231.92,278.38,154.9,55.56,43.48,369.23,200
"C31","Fabbricazione di mobili                                     ",31347,26454,639,1685,-102,10506,7560,147,405,300,9345,7806,42,406,-48,11201,10928,445,857,-353,295,160,5,17,-1,"2010",84.39,286.64,163.69,565.47,310.52,14.29,224.04,189.29,515.15,180.98,88.89
"C32","Altre industrie manifatturiere                              ",46287,43442,1525,2513,358,7062,5528,80,247,260,10547,9492,65,480,113,28364,28182,1373,1774,-22,314,240,7,12,7,"2010",93.85,64.22,-26.88,21.6,157.89,50,49.14,-39.01,18.23,107,-29.41
"C33","Riparazione, manutenzione ed installazione di macchine ed.. ",24211,22848,2633,1685,1691,5818,5010,241,178,755,4202,3842,112,195,332,13842,13743,2263,1305,574,349,253,17,7,30,"2010",94.37,-47.41,-9.37,-59.52,-51.23,5.42,-32.95,-27.94,-59.38,-26.44,-41.67
"D","Fornitura di energia elettrica, gas, vapore e aria condiz.. ",4953,4626,483,254,749,3711,3464,287,197,636,359,326,19,17,77,495,490,161,28,22,388,346,16,12,14,"2010",93.4,-79.75,-30.86,-91.51,-96.43,36.76,-84.93,10.67,-91.28,-97.85,71.43
"D35","Fornitura di energia elettrica, gas, vapore e aria condiz.. ",4953,4626,483,254,749,3711,3464,287,197,636,359,326,19,17,77,495,490,161,28,22,388,346,16,12,14,"2010",93.4,0,0,0,0,0,0,0,0,0,0
"E","Fornitura di acqua; reti fognarie, attivit‡ di gestione d.. ",10671,9271,144,450,423,5109,4285,42,140,319,1670,1490,3,62,33,2436,2397,87,191,48,1456,1099,12,57,23,"2010",86.88,100.41,23.7,357.06,389.18,217.63,77.17,-28.93,264.71,582.14,375
"E36","Raccolta, trattamento e fornitura di acqua                  ",1003,833,7,40,15,478,396,3,20,13,94,77,0,5,2,68,65,1,5,2,363,295,3,10,-2,"2010",83.05,-91.01,-90.76,-94.83,-97.29,-73.16,-91.11,-85.71,-91.94,-97.38,-82.46
"E37","Gestione delle reti fognarie                                ",1299,1202,16,53,43,483,422,4,13,26,297,287,0,4,6,408,405,11,30,7,111,88,1,6,4,"2010",92.53,44.3,6.57,272.73,523.08,-70.17,32.5,-35,-20,500,-40
"E38","Attivit‡ di raccolta, trattamento e smaltimento dei rifiu.. ",7117,6121,107,292,358,3797,3164,32,91,259,1136,997,3,45,27,1567,1537,64,127,49,617,423,8,29,23,"2010",86.01,409.23,649.76,247.39,279.51,380.68,450.94,600,1025,323.33,383.33
"E39","Attivit‡ di risanamento e altri servizi di gestione dei r.. ",1252,1115,14,65,7,351,303,3,16,21,143,129,0,8,-2,393,390,11,29,-10,365,293,0,12,-2,"2010",89.06,-81.78,-90.42,-87.06,-74.63,-30.73,-77.74,-82.42,-82.22,-77.17,-58.62
"F","Costruzioni                                                 ",906717,830253,53702,63851,12891,194888,157697,4198,5948,9006,118566,100666,1745,6112,1603,556850,550228,47218,50030,1213,36413,21662,541,1761,1069,"2010",91.57,74362.15,51945.21,77935.66,140984.1,7293.17,98132.31,37075,76300,172417.24,14575
"F41","Costruzione di edifici                                      ",352732,297637,11399,20881,7552,140497,112389,2832,4520,6104,58814,47855,750,3145,847,124497,121188,7473,11743,-116,28924,16205,344,1473,717,"2010",84.38,-64.15,-28.73,-52.46,-77.97,-25.19,-67.3,-24.01,-48.54,-76.53,-16.35
"F42","Ingegneria civile                                           ",12864,11000,448,705,386,5473,4467,138,162,278,1775,1497,25,93,13,3790,3688,232,366,8,1826,1348,53,84,87,"2010",85.51,-96.3,-96.03,-96.87,-96.96,-91.68,-96.62,-96.42,-97.04,-96.88,-94.3
"F43","Lavori di costruzione specializzati                         ",541121,521616,41855,42265,4953,48918,40841,1228,1266,2624,57977,51314,970,2874,743,428563,425352,39513,37921,1321,5663,4109,144,204,265,"2010",96.4,4641.96,814.28,3327.79,11433.41,204.82,5895.04,681.48,2990.32,10260.93,142.86
"G","Commercio all'ingrosso e al dettaglio; riparazione di aut.. ",1552198,1422566,80918,107029,28334,263405,200824,4231,9344,13457,284757,238200,3090,15660,7770,993201,976027,73460,81695,6801,10835,7515,137,330,306,"2010",91.65,172.72,391.72,364.2,129.46,82.89,153.23,638.07,444.89,115.43,61.76
"G45","Commercio all'ingrosso e al dettaglio e riparazione di au.. ",162481,150151,6278,8500,2764,30266,24082,466,903,1536,40225,35356,356,1495,715,91284,90204,5445,6080,485,706,509,11,22,28,"2010",92.41,-89.45,-88.01,-85.16,-90.76,-93.23,-92.06,-90.34,-90.45,-92.56,-93.33
"G46","Commercio all'ingrosso (escluso quello di autoveicoli e d.. ",520414,459197,26476,36053,8729,144093,107547,2507,5516,6355,82919,64513,765,5369,1640,287844,283487,23160,24979,584,5558,3650,44,189,150,"2010",88.24,205.82,346.59,82.47,214.27,617.09,324.15,510.85,259.13,310.84,759.09
"G47","Commercio al dettaglio (escluso quello di autoveicoli e d.. ",869303,813218,48164,62476,16841,89046,69195,1258,2925,5566,161613,138331,1969,8796,5415,614073,602336,44855,50636,5732,4571,3356,82,119,128,"2010",93.55,77.1,-35.66,114.42,112.47,-8.05,73.29,-46.97,63.83,102.71,-37.04
"H","Trasporto e magazzinaggio                                   ",181187,164391,4712,10693,3784,31837,25701,353,982,1974,25155,21473,123,1088,487,109490,107222,3939,7969,400,14705,9995,297,654,923,"2010",90.73,-79.79,-62.86,-84.48,-82.2,197.82,-82.88,-66.43,-87.63,-84.26,449.58
"H49","Trasporto terrestre e mediante condotte                     ",145568,134967,2981,8416,2307,18873,15278,151,528,1318,20738,17789,77,822,322,99763,97620,2713,6850,306,6194,4280,40,216,361,"2010",92.72,-17.9,-40.55,-17.16,-8.96,-57.18,-21.29,-46.23,-24.45,-14.04,-66.97
"H50","Trasporto marittimo e per vie d'acqua                       ",2430,1998,100,94,95,979,660,7,30,43,356,287,1,12,25,967,962,91,50,22,128,89,1,2,5,"2010",82.22,-98.52,-95.68,-98.39,-99.01,-97.92,-98.88,-94.32,-98.54,-99.27,-99.07
"H51","Trasporto aereo                                             ",376,225,6,18,13,308,187,4,14,16,25,12,0,4,-1,21,18,2,0,-2,22,8,0,0,0,"2010",59.84,-88.74,-71.67,-95.82,-98.13,-91.01,-80.85,-53.33,-66.67,-100,-100
"H52","Magazzinaggio e attivit‡ di supporto ai trasporti           ",29506,24159,1208,1779,1229,11077,9108,173,383,554,3660,3066,40,228,103,6599,6500,743,740,26,8170,5485,252,428,546,"2010",81.88,10637.33,4770.59,25450,36011.11,68462.5,9783.33,2635.71,5600,Inf,Inf
"H53","Servizi postali e attivit‡ di corriere                      ",3307,3042,417,386,140,600,468,18,27,43,376,319,5,22,38,2140,2122,390,329,48,191,133,4,8,11,"2010",91.99,-87.41,-94.86,-89.6,-67.35,-97.58,-78.3,-92.95,-90.35,-55.54,-98.13
"I","Attivit‡ dei servizi alloggio e ristorazione                ",383549,341556,19900,25859,16087,57654,45759,810,1562,4309,151918,125656,2658,7698,7980,169360,166527,16274,16462,3591,4617,3614,158,137,207,"2010",89.05,11128.01,9677.56,39290.6,7747.64,2617.29,6599.22,5685.19,34890.91,4903.65,1612.5
"I55","Alloggio                                                    ",46142,42131,1279,1764,1449,13440,11451,134,313,827,15978,14394,98,394,354,15705,15431,1007,1033,238,1019,855,40,24,30,"2010",91.31,-87.66,-74.98,-88.54,-90.73,-76.34,-93.18,-79.96,-94.88,-93.72,-82.48
"I56","Attivit‡ dei servizi di ristorazione                        ",337407,299425,18621,24095,14638,44214,34308,676,1249,3482,135940,111262,2560,7304,7626,153655,151096,15267,15429,3353,3598,2759,118,113,177,"2010",88.74,610.7,199.61,672.97,879.17,222.69,1265.93,299.04,1753.81,1393.61,370.83
"J","Servizi di informazione e comunicazione                     ",123639,108689,6791,7933,3375,52983,42731,1090,2065,2321,25705,22616,405,1671,607,38748,38536,5144,3960,260,6203,4806,152,237,187,"2010",87.91,-63.7,24.55,-79.67,-74.5,74.19,-67.08,65.33,-77.12,-74.33,109.73
"J58","Attivit‡ editoriali                                         ",13688,10902,395,785,348,6993,5001,81,256,269,1966,1538,19,178,37,3088,3031,248,295,19,1641,1332,47,56,23,"2010",79.65,-89.97,-88.3,-93.2,-92.13,-72.28,-90.1,-87.6,-89.35,-92.55,-76.37
"J59","Attivit‡ di produzione cinematografica, di video e di pro.. ",11956,9874,451,637,368,5522,3913,54,178,243,1848,1555,41,132,75,3771,3727,336,308,33,815,679,20,19,17,"2010",82.59,-9.43,-21.76,1.11,22.96,-49.02,-18.85,-30.47,-25.84,4.41,-66.07
"J60","Attivit‡ di programmazione e trasmissione                   ",2727,2190,15,128,30,1612,1270,6,59,28,479,400,0,30,3,217,206,5,29,-4,419,314,4,10,3,"2010",80.31,-77.82,-67.54,-74.28,-94.47,-53.76,-79.91,-66.85,-77.27,-90.58,-47.37
"J61","Telecomunicazioni                                           ",10527,9918,916,927,448,2228,1813,37,85,185,1273,1117,12,87,95,6901,6886,862,753,161,125,102,5,2,7,"2010",94.21,352.88,42.76,179.25,3242.72,-67.52,624.22,44.07,190,2496.55,-80
"J62","Produzione di software, consulenza informatica e attivit‡.. ",42535,37688,2656,3010,1228,20584,17025,570,989,948,7712,6826,181,616,222,13128,13090,1887,1348,24,1111,747,18,57,34,"2010",88.6,280,839.05,511.1,90.1,632.35,224.7,1063.53,608.05,79.02,2750
"J63","Attivit‡ dei servizi d'informazione e altri servizi infor.. ",42206,38117,2358,2446,953,16044,13709,342,498,648,12427,11180,152,628,175,11643,11596,1806,1227,27,2092,1632,58,93,103,"2010",90.31,1.14,-19.48,63.79,-11.41,118.47,-18.74,-49.65,1.95,-8.98,63.16
"K","Attivit‡ finanziarie e assicurative                         ",116878,108985,6843,8569,2076,20607,15768,331,934,1143,16531,14117,75,1089,653,77951,77740,6427,6469,243,1789,1360,10,77,37,"2010",93.25,185.92,15.02,26.27,570.4,-16.67,250.33,87.55,73.41,427.22,-17.2
"K64","Attivit‡ di servizi finanziari (escluse le assicurazioni .. ",14137,10227,282,768,586,10782,7678,243,495,504,1890,1388,25,210,40,308,297,5,21,-5,1157,864,9,42,47,"2010",72.34,-90.62,-51.31,-90.17,-99.62,-36.47,-91.04,-47,-80.72,-99.68,-45.45
"K65","Assicurazioni, riassicurazioni e fondi pensione (escluse .. ",1246,808,3,103,-14,399,241,1,22,-3,597,355,1,55,-10,177,166,1,23,-4,73,46,0,3,3,"2010",64.85,-92.1,-96.86,-74.42,-44.11,-94.68,-86.59,-95.56,-73.81,9.52,-92.86
"K66","Attivit‡ ausiliarie dei servizi finanziari e delle attivi.. ",101495,97950,6558,7698,1504,9426,7849,87,417,642,14044,12374,49,824,623,77466,77277,6421,6425,252,559,450,1,32,-13,"2010",96.51,12022.52,3156.85,3385.63,46452.41,878.26,7373.79,1795.45,1398.18,27834.78,966.67
"L","Attivita' immobiliari                                       ",278554,244246,5860,11225,9110,148643,125104,2241,4890,5362,96691,88229,805,3806,3288,28646,28508,2796,2341,439,4574,2405,18,188,21,"2010",87.68,149.36,1493.88,613.02,-63.11,434.44,45.82,1072.66,361.89,-63.56,487.5
"L68","Attivita' immobiliari                                       ",278554,244246,5860,11225,9110,148643,125104,2241,4890,5362,96691,88229,805,3806,3288,28646,28508,2796,2341,439,4574,2405,18,188,21,"2010",87.68,0,0,0,0,0,0,0,0,0,0
"M","Attivit‡ professionali, scientifiche e tecniche             ",189151,168914,11748,12850,7102,80233,67657,2491,3436,5192,35164,30959,792,2729,1227,60372,59960,8160,6109,207,13382,10338,305,576,476,"2010",89.3,-30.84,-45.92,-64.91,110.33,329.85,14.48,-29.73,-28.3,160.96,206.38
"M69","Attivit‡ legali e contabilit‡                               ",12153,10575,176,614,59,6218,5230,86,224,50,3109,2729,29,196,21,1872,1856,52,164,-23,954,760,9,30,11,"2010",87.02,-93.74,-92.27,-91.19,-96.9,-92.65,-95.22,-93.48,-92.82,-97.32,-94.79
"M70","Attivit‡ di direzione aziendale e di consulenza gestional.. ",48640,44015,3156,3132,2790,26798,23611,990,1240,2006,8747,8100,273,719,401,7217,7176,1718,910,79,5878,5128,175,263,304,"2010",90.49,316.22,351.45,196.81,286.64,574.74,410.1,453.57,266.84,454.88,776.67
"M71","Attivit‡ degli studi di architettura e d'ingegneria; coll.. ",25863,23230,716,1280,1046,16254,14314,461,613,949,5229,4820,65,386,60,2515,2495,169,234,-26,1865,1601,21,47,63,"2010",89.82,-47.22,-39.38,-40.49,-65.23,-68.78,-59.13,-50.56,-46.31,-74.29,-82.13
"M72","Ricerca scientifica e sviluppo                              ",4192,3640,134,198,233,2586,2242,85,115,198,448,400,6,25,13,153,149,12,18,3,1005,849,31,40,19,"2010",86.83,-84.33,-84.34,-91.7,-94.03,-46.97,-84.53,-81.24,-93.52,-92.31,-14.89
"M73","Pubblicit‡ e ricerche di mercato                            ",39402,35232,2573,3283,654,13978,11094,286,649,556,6533,5715,108,576,159,17531,17429,2146,1986,-91,1360,994,33,72,30,"2010",89.42,867.91,394.83,1328.75,11597.32,17.08,1558.08,464.35,2204,10933.33,80
"M74","Altre attivit‡ professionali, scientifiche e tecniche       ",58588,51946,4988,4334,2301,14269,11049,582,594,1426,10972,9088,309,824,562,31041,30815,4062,2792,265,2306,994,35,124,48,"2010",88.66,47.44,-0.41,59.02,76.8,0,32.01,-8.47,43.06,40.58,72.22
"M75","Servizi veterinari                                          ",313,276,5,9,19,130,117,1,1,7,126,107,2,3,11,43,40,1,5,0,14,12,1,0,1,"2010",88.18,-99.47,-98.94,-98.82,-99.87,-98.79,-99.79,-99.83,-99.64,-99.82,-100
"N","Noleggio, agenzie di viaggio, servizi di supporto alle im.. ",152308,138613,10493,10903,4966,40848,33856,753,1589,2386,25891,23016,386,1759,1040,70721,70065,9007,6912,726,14848,11676,347,643,814,"2010",91.01,50122.1,28836.75,21410.28,175062.5,97200,121044.44,158800,58533.33,138140,Inf
"N77","Attivit‡ di noleggio e leasing operativo                    ",20911,18673,1057,1909,869,8026,6670,181,350,572,4198,3583,54,349,191,8261,8101,809,1200,79,426,319,13,10,27,"2010",89.3,-86.53,-80.3,-84.43,-88.44,-97.27,-82.49,-77.97,-80.16,-82.64,-98.44
"N78","Attivit‡ di ricerca, selezione, fornitura di personale      ",1176,1027,22,78,54,669,582,7,24,31,239,218,2,22,14,171,168,10,26,2,97,59,3,6,7,"2010",87.33,-94.5,-91.27,-93.92,-97.93,-81.5,-95.91,-93.14,-93.7,-97.83,-40
"N79","Attivit‡ dei servizi delle agenzie di viaggio, dei tour o.. ",16744,14725,730,975,813,6944,5546,58,225,361,4138,3726,59,227,290,4738,4691,586,491,125,924,762,27,32,37,"2010",87.94,1333.79,852.92,1609.17,2692.26,1191.53,1150,837.5,931.82,1788.46,433.33
"N80","Servizi di vigilanza e investigazione                       ",3525,3058,101,241,111,1520,1237,15,71,82,451,392,6,24,20,1175,1168,77,131,9,379,261,3,15,0,"2010",86.75,-79.23,-77.7,-89.48,-75.1,-65.75,-75.28,-68.44,-89.43,-73.32,-53.12
"N81","Attivit‡ di servizi per edifici e paesaggio                 ",55919,52030,4939,3914,1656,6825,5740,175,198,533,6967,6172,147,481,248,35102,34785,4486,2919,365,7025,5333,131,316,510,"2010",93.05,1601.44,364.03,1474.49,2878.17,1943.3,1524.07,178.87,1904.17,2128.24,2006.67
"N82","Attivit‡ di supporto per le funzioni d'ufficio e altri se.. ",54033,49100,3644,3786,1463,16864,14081,317,721,807,9898,8925,118,656,277,21274,21152,3039,2145,146,5997,4942,170,264,233,"2010",90.87,-5.63,145.31,44.6,-39.19,-7.33,-3.27,264.14,36.38,-26.52,-16.46
"O","Amministrazione pubblica e difesa; assicurazione sociale .. ",162,61,0,10,-3,74,29,0,3,-2,19,11,0,3,1,1,1,0,0,0,68,20,0,4,-2,"2010",37.65,-99.88,-99.79,-99.88,-100,-99.6,-99.74,-99.58,-99.54,-100,-98.48
"O84","Amministrazione pubblica e difesa; assicurazione sociale .. ",162,61,0,10,-3,74,29,0,3,-2,19,11,0,3,1,1,1,0,0,0,68,20,0,4,-2,"2010",37.65,0,0,0,0,0,0,0,0,NA,0
"P","Istruzione                                                  ",24799,22652,1106,1288,925,6402,5314,154,269,419,4971,4548,89,270,207,5990,5962,554,571,76,7436,6828,309,178,223,"2010",91.34,37034.43,18224.14,41245.45,596100,34040,12780,8866.67,8900,Inf,4350
"P85","Istruzione                                                  ",24799,22652,1106,1288,925,6402,5314,154,269,419,4971,4548,89,270,207,5990,5962,554,571,76,7436,6828,309,178,223,"2010",91.34,0,0,0,0,0,0,0,0,0,0
"Q","Sanita' e assistenza sociale                                ",32452,28485,696,1174,1647,10583,9048,61,294,644,7428,6632,52,278,340,3273,3242,381,310,59,11168,9563,202,292,604,"2010",87.78,25.75,70.27,45.82,-45.62,40.06,-8.85,9.29,2.96,-45.71,64.04
"Q86","Assistenza sanitaria                                        ",17757,15274,182,594,744,8969,7623,45,243,494,5951,5275,26,205,187,1285,1268,87,81,7,1552,1108,24,65,56,"2010",86.02,-46.38,-15.75,-20.46,-60.89,-88.41,-49.4,-17.35,-26.26,-73.87,-77.74
"Q87","Servizi di assistenza sociale residenziale                  ",3606,3270,101,98,256,922,837,9,18,84,321,274,4,9,23,525,520,55,39,11,1838,1639,33,32,138,"2010",90.68,-78.59,-89.02,-94.81,-58.99,47.92,-83.5,-92.59,-95.61,-51.85,-50.77
"Q88","Assistenza sociale non residenziale                         ",11089,9941,413,482,647,692,588,7,33,66,1156,1083,22,64,130,1463,1454,239,190,41,7778,6816,145,195,410,"2010",89.65,204.01,-29.75,295.26,179.62,315.86,391.84,83.33,611.11,387.18,509.38
"R","Attivit‡ artistiche, sportive, di intrattenimento e diver.. ",64689,56728,3533,4115,2604,18553,14416,345,692,1329,13073,11089,183,750,704,23295,23105,2513,2338,387,9768,8118,492,335,184,"2010",87.69,470.65,2351.7,923.92,1489.06,19.1,753.73,1996.97,1071.88,1130.53,71.79
"R90","Attivit‡ creative, artistiche e di intrattenimento          ",17578,14670,990,1168,397,3824,2586,84,141,221,2644,1925,43,221,89,7579,7519,715,675,25,3531,2640,148,131,62,"2010",83.46,-74.14,-82.06,-82.64,-67.46,-67.48,-71.62,-79.62,-70.53,-71.13,-60.9
"R91","Attivit‡ di biblioteche, archivi, musei ed altre attivit‡.. ",1376,1094,28,64,38,275,215,4,13,15,165,139,0,8,4,140,139,10,12,-2,796,601,14,31,21,"2010",79.51,-92.54,-91.69,-92.78,-98.15,-77.23,-94.52,-90.78,-96.38,-98.22,-76.34
