"";"provincia";"sesso";"classe_eta";"popolazione_2018";"popolazione_2019"
"1576";"Campania";"totale";"65-69 anni";306838;310937
"1577";"Campania";"totale";"70-74 anni";269989;284977
"1578";"Campania";"totale";"75-79 anni";205226;199403
"1579";"Campania";"totale";"80-84 anni";154006;158816
"1580";"Campania";"totale";"85-89 anni";95432;96457
"1581";"Campania";"totale";"90-94 anni";37646;38974
"1582";"Campania";"totale";"95-99 anni";8622;9162
"1583";"Campania";"totale";"fino a 4 anni";247251;242182
"1584";"Campania";"totale";"totale";5740291;5712143
"1585";"Campobasso";"femmine";"10-14 anni";4419;4310
"1586";"Campobasso";"femmine";"100 anni e più";56;61
"1587";"Campobasso";"femmine";"15-19 anni";5000;4844
"1588";"Campobasso";"femmine";"20-24 anni";5411;5306
"1589";"Campobasso";"femmine";"25-29 anni";5879;5689
"1590";"Campobasso";"femmine";"30-34 anni";5861;5720
"1591";"Campobasso";"femmine";"35-39 anni";6458;6191
"1592";"Campobasso";"femmine";"40-44 anni";7496;7228
"1593";"Campobasso";"femmine";"45-49 anni";8242;8098
"1594";"Campobasso";"femmine";"5-9 anni";4063;3959
"1595";"Campobasso";"femmine";"50-54 anni";8990;8900
"1596";"Campobasso";"femmine";"55-59 anni";8354;8510
"1597";"Campobasso";"femmine";"60-64 anni";7730;7810
"1598";"Campobasso";"femmine";"65-69 anni";7111;7146
"1599";"Campobasso";"femmine";"70-74 anni";6170;6603
"1600";"Campobasso";"femmine";"75-79 anni";5388;5027
"1601";"Campobasso";"femmine";"80-84 anni";5219;5311
"1602";"Campobasso";"femmine";"85-89 anni";3860;3897
"1603";"Campobasso";"femmine";"90-94 anni";1945;1978
"1604";"Campobasso";"femmine";"95-99 anni";542;583
"1605";"Campobasso";"femmine";"fino a 4 anni";3522;3423
"1606";"Campobasso";"femmine";"totale";111716;110594
"1607";"Campobasso";"maschi";"10-14 anni";4877;4694
"1608";"Campobasso";"maschi";"100 anni e più";13;17
"1609";"Campobasso";"maschi";"15-19 anni";5369;5191
"1610";"Campobasso";"maschi";"20-24 anni";6339;6036
"1611";"Campobasso";"maschi";"25-29 anni";6628;6372
"1612";"Campobasso";"maschi";"30-34 anni";6390;6254
"1613";"Campobasso";"maschi";"35-39 anni";6695;6450
"1614";"Campobasso";"maschi";"40-44 anni";7687;7393
"1615";"Campobasso";"maschi";"45-49 anni";8210;8076
"1616";"Campobasso";"maschi";"5-9 anni";4306;4273
"1617";"Campobasso";"maschi";"50-54 anni";8741;8606
"1618";"Campobasso";"maschi";"55-59 anni";8242;8525
"1619";"Campobasso";"maschi";"60-64 anni";7212;7314
"1620";"Campobasso";"maschi";"65-69 anni";6761;6675
"1621";"Campobasso";"maschi";"70-74 anni";5690;6119
"1622";"Campobasso";"maschi";"75-79 anni";4325;4152
"1623";"Campobasso";"maschi";"80-84 anni";3644;3722
"1624";"Campobasso";"maschi";"85-89 anni";2156;2248
"1625";"Campobasso";"maschi";"90-94 anni";756;797
"1626";"Campobasso";"maschi";"95-99 anni";171;182
"1627";"Campobasso";"maschi";"fino a 4 anni";3835;3672
"1628";"Campobasso";"maschi";"totale";108047;106768
"1629";"Campobasso";"totale";"10-14 anni";9296;9004
"1630";"Campobasso";"totale";"100 anni e più";69;78
"1631";"Campobasso";"totale";"15-19 anni";10369;10035
"1632";"Campobasso";"totale";"20-24 anni";11750;11342
"1633";"Campobasso";"totale";"25-29 anni";12507;12061
"1634";"Campobasso";"totale";"30-34 anni";12251;11974
"1635";"Campobasso";"totale";"35-39 anni";13153;12641
"1636";"Campobasso";"totale";"40-44 anni";15183;14621
"1637";"Campobasso";"totale";"45-49 anni";16452;16174
"1638";"Campobasso";"totale";"5-9 anni";8369;8232
"1639";"Campobasso";"totale";"50-54 anni";17731;17506
"1640";"Campobasso";"totale";"55-59 anni";16596;17035
"1641";"Campobasso";"totale";"60-64 anni";14942;15124
"1642";"Campobasso";"totale";"65-69 anni";13872;13821
"1643";"Campobasso";"totale";"70-74 anni";11860;12722
"1644";"Campobasso";"totale";"75-79 anni";9713;9179
"1645";"Campobasso";"totale";"80-84 anni";8863;9033
"1646";"Campobasso";"totale";"85-89 anni";6016;6145
"1647";"Campobasso";"totale";"90-94 anni";2701;2775
"1648";"Campobasso";"totale";"95-99 anni";713;765
"1649";"Campobasso";"totale";"fino a 4 anni";7357;7095
"1650";"Campobasso";"totale";"totale";219763;217362
"1651";"Caserta";"femmine";"10-14 anni";24579;24197
"1652";"Caserta";"femmine";"100 anni e più";84;76
"1653";"Caserta";"femmine";"15-19 anni";26064;26031
"1654";"Caserta";"femmine";"20-24 anni";26923;26499
"1655";"Caserta";"femmine";"25-29 anni";29190;28369
"1656";"Caserta";"femmine";"30-34 anni";29221;29012
"1657";"Caserta";"femmine";"35-39 anni";31110;30585
"1658";"Caserta";"femmine";"40-44 anni";34298;33428
"1659";"Caserta";"femmine";"45-49 anni";36068;36077
"1660";"Caserta";"femmine";"5-9 anni";22413;21631
"1661";"Caserta";"femmine";"50-54 anni";37016;36673
"1662";"Caserta";"femmine";"55-59 anni";32700;34029
"1663";"Caserta";"femmine";"60-64 anni";28000;28272
"1664";"Caserta";"femmine";"65-69 anni";24083;24637
"1665";"Caserta";"femmine";"70-74 anni";21527;22929
"1666";"Caserta";"femmine";"75-79 anni";17403;16885
"1667";"Caserta";"femmine";"80-84 anni";13582;13957
"1668";"Caserta";"femmine";"85-89 anni";8630;8751
"1669";"Caserta";"femmine";"90-94 anni";3593;3692
"1670";"Caserta";"femmine";"95-99 anni";827;892
"1671";"Caserta";"femmine";"fino a 4 anni";19869;19522
"1672";"Caserta";"femmine";"totale";467180;466144
"1673";"Caserta";"maschi";"10-14 anni";26044;25577
"1674";"Caserta";"maschi";"100 anni e più";16;17
"1675";"Caserta";"maschi";"15-19 anni";27552;27390
"1676";"Caserta";"maschi";"20-24 anni";29238;28662
"1677";"Caserta";"maschi";"25-29 anni";29415;28973
"1678";"Caserta";"maschi";"30-34 anni";29081;28575
"1679";"Caserta";"maschi";"35-39 anni";31445;30981
"1680";"Caserta";"maschi";"40-44 anni";34315;33602
"1681";"Caserta";"maschi";"45-49 anni";34582;34717
"1682";"Caserta";"maschi";"5-9 anni";23534;22838
"1683";"Caserta";"maschi";"50-54 anni";35534;35351
"1684";"Caserta";"maschi";"55-59 anni";30729;31996
"1685";"Caserta";"maschi";"60-64 anni";26012;26596
"1686";"Caserta";"maschi";"65-69 anni";22243;22657
"1687";"Caserta";"maschi";"70-74 anni";18973;19998
"1688";"Caserta";"maschi";"75-79 anni";13487;13169
"1689";"Caserta";"maschi";"80-84 anni";9010;9485
"1690";"Caserta";"maschi";"85-89 anni";4645;4773
"1691";"Caserta";"maschi";"90-94 anni";1405;1511
"1692";"Caserta";"maschi";"95-99 anni";245;253
"1693";"Caserta";"maschi";"fino a 4 anni";20864;20401
"1694";"Caserta";"maschi";"totale";448369;447522
"1695";"Caserta";"totale";"10-14 anni";50623;49774
"1696";"Caserta";"totale";"100 anni e più";100;93
"1697";"Caserta";"totale";"15-19 anni";53616;53421
"1698";"Caserta";"totale";"20-24 anni";56161;55161
"1699";"Caserta";"totale";"25-29 anni";58605;57342
"1700";"Caserta";"totale";"30-34 anni";58302;57587
"1701";"Caserta";"totale";"35-39 anni";62555;61566
"1702";"Caserta";"totale";"40-44 anni";68613;67030
"1703";"Caserta";"totale";"45-49 anni";70650;70794
"1704";"Caserta";"totale";"5-9 anni";45947;44469
"1705";"Caserta";"totale";"50-54 anni";72550;72024
"1706";"Caserta";"totale";"55-59 anni";63429;66025
"1707";"Caserta";"totale";"60-64 anni";54012;54868
"1708";"Caserta";"totale";"65-69 anni";46326;47294
"1709";"Caserta";"totale";"70-74 anni";40500;42927
"1710";"Caserta";"totale";"75-79 anni";30890;30054
"1711";"Caserta";"totale";"80-84 anni";22592;23442
"1712";"Caserta";"totale";"85-89 anni";13275;13524
"1713";"Caserta";"totale";"90-94 anni";4998;5203
"1714";"Caserta";"totale";"95-99 anni";1072;1145
"1715";"Caserta";"totale";"fino a 4 anni";40733;39923
"1716";"Caserta";"totale";"totale";915549;913666
"1717";"Catania";"femmine";"10-14 anni";26979;26641
"1718";"Catania";"femmine";"100 anni e più";133;160
"1719";"Catania";"femmine";"15-19 anni";28180;27920
"1720";"Catania";"femmine";"20-24 anni";29792;29110
"1721";"Catania";"femmine";"25-29 anni";33355;32278
"1722";"Catania";"femmine";"30-34 anni";33532;33109
"1723";"Catania";"femmine";"35-39 anni";34665;34206
"1724";"Catania";"femmine";"40-44 anni";39252;38054
"1725";"Catania";"femmine";"45-49 anni";41420;41060
"1726";"Catania";"femmine";"5-9 anni";25482;25127
"1727";"Catania";"femmine";"50-54 anni";42181;42045
"1728";"Catania";"femmine";"55-59 anni";39782;40659
"1729";"Catania";"femmine";"60-64 anni";36109;36413
"1730";"Catania";"femmine";"65-69 anni";31306;32141
"1731";"Catania";"femmine";"70-74 anni";27978;29110
"1732";"Catania";"femmine";"75-79 anni";22151;21632
"1733";"Catania";"femmine";"80-84 anni";18562;18779
"1734";"Catania";"femmine";"85-89 anni";12703;13046
"1735";"Catania";"femmine";"90-94 anni";5418;5619
"1736";"Catania";"femmine";"95-99 anni";1371;1432
"1737";"Catania";"femmine";"fino a 4 anni";23887;23343
"1738";"Catania";"femmine";"totale";554238;551884
"1739";"Catania";"maschi";"10-14 anni";28905;28518
"1740";"Catania";"maschi";"100 anni e più";35;40
"1741";"Catania";"maschi";"15-19 anni";30406;30055
"1742";"Catania";"maschi";"20-24 anni";31424;30966
"1743";"Catania";"maschi";"25-29 anni";34263;33244
"1744";"Catania";"maschi";"30-34 anni";33677;33044
"1745";"Catania";"maschi";"35-39 anni";34354;33987
"1746";"Catania";"maschi";"40-44 anni";38067;36848
"1747";"Catania";"maschi";"45-49 anni";39028;39147
"1748";"Catania";"maschi";"5-9 anni";26690;26318
"1749";"Catania";"maschi";"50-54 anni";39300;39020
"1750";"Catania";"maschi";"55-59 anni";36467;37328
"1751";"Catania";"maschi";"60-64 anni";32363;32842
"1752";"Catania";"maschi";"65-69 anni";28353;28799
"1753";"Catania";"maschi";"70-74 anni";24095;25280
"1754";"Catania";"maschi";"75-79 anni";17243;16937
"1755";"Catania";"maschi";"80-84 anni";12995;13188
"1756";"Catania";"maschi";"85-89 anni";7404;7698
"1757";"Catania";"maschi";"90-94 anni";2385;2474
"1758";"Catania";"maschi";"95-99 anni";444;471
"1759";"Catania";"maschi";"fino a 4 anni";25134;24546
"1760";"Catania";"maschi";"totale";523032;520750
"1761";"Catania";"totale";"10-14 anni";55884;55159
"1762";"Catania";"totale";"100 anni e più";168;200
"1763";"Catania";"totale";"15-19 anni";58586;57975
"1764";"Catania";"totale";"20-24 anni";61216;60076
"1765";"Catania";"totale";"25-29 anni";67618;65522
"1766";"Catania";"totale";"30-34 anni";67209;66153
"1767";"Catania";"totale";"35-39 anni";69019;68193
"1768";"Catania";"totale";"40-44 anni";77319;74902
"1769";"Catania";"totale";"45-49 anni";80448;80207
"1770";"Catania";"totale";"5-9 anni";52172;51445
"1771";"Catania";"totale";"50-54 anni";81481;81065
"1772";"Catania";"totale";"55-59 anni";76249;77987
"1773";"Catania";"totale";"60-64 anni";68472;69255
"1774";"Catania";"totale";"65-69 anni";59659;60940
"1775";"Catania";"totale";"70-74 anni";52073;54390
"1776";"Catania";"totale";"75-79 anni";39394;38569
"1777";"Catania";"totale";"80-84 anni";31557;31967
"1778";"Catania";"totale";"85-89 anni";20107;20744
"1779";"Catania";"totale";"90-94 anni";7803;8093
"1780";"Catania";"totale";"95-99 anni";1815;1903
"1781";"Catania";"totale";"fino a 4 anni";49021;47889
"1782";"Catania";"totale";"totale";1077270;1072634
"1783";"Catanzaro";"femmine";"10-14 anni";7776;7638
"1784";"Catanzaro";"femmine";"100 anni e più";53;62
"1785";"Catanzaro";"femmine";"15-19 anni";8549;8358
"1786";"Catanzaro";"femmine";"20-24 anni";9208;9086
"1787";"Catanzaro";"femmine";"25-29 anni";10464;10103
"1788";"Catanzaro";"femmine";"30-34 anni";10641;10334
"1789";"Catanzaro";"femmine";"35-39 anni";11196;10972
"1790";"Catanzaro";"femmine";"40-44 anni";12175;11930
"1791";"Catanzaro";"femmine";"45-49 anni";13207;12927
"1792";"Catanzaro";"femmine";"5-9 anni";7383;7290
"1793";"Catanzaro";"femmine";"50-54 anni";14243;13947
"1794";"Catanzaro";"femmine";"55-59 anni";13803;14101
"1795";"Catanzaro";"femmine";"60-64 anni";12218;12407
"1796";"Catanzaro";"femmine";"65-69 anni";10909;11139
"1797";"Catanzaro";"femmine";"70-74 anni";9275;9808
"1798";"Catanzaro";"femmine";"75-79 anni";7631;7428
"1799";"Catanzaro";"femmine";"80-84 anni";6807;6736
"1800";"Catanzaro";"femmine";"85-89 anni";5044;5114
"1801";"Catanzaro";"femmine";"90-94 anni";2303;2344
"1802";"Catanzaro";"femmine";"95-99 anni";595;641
"1803";"Catanzaro";"femmine";"fino a 4 anni";6881;6720
"1804";"Catanzaro";"femmine";"totale";180361;179085
"1805";"Catanzaro";"maschi";"10-14 anni";8274;8067
"1806";"Catanzaro";"maschi";"100 anni e più";18;19
"1807";"Catanzaro";"maschi";"15-19 anni";8966;8845
"1808";"Catanzaro";"maschi";"20-24 anni";9850;9551
"1809";"Catanzaro";"maschi";"25-29 anni";10952;10396
"1810";"Catanzaro";"maschi";"30-34 anni";11201;10893
"1811";"Catanzaro";"maschi";"35-39 anni";11105;10968
"1812";"Catanzaro";"maschi";"40-44 anni";12102;11761
"1813";"Catanzaro";"maschi";"45-49 anni";12384;12254
"1814";"Catanzaro";"maschi";"5-9 anni";7746;7735
"1815";"Catanzaro";"maschi";"50-54 anni";13072;12868
"1816";"Catanzaro";"maschi";"55-59 anni";12674;12948
"1817";"Catanzaro";"maschi";"60-64 anni";11687;11765
"1818";"Catanzaro";"maschi";"65-69 anni";10471;10642
"1819";"Catanzaro";"maschi";"70-74 anni";8561;8990
"1820";"Catanzaro";"maschi";"75-79 anni";6221;6216
"1821";"Catanzaro";"maschi";"80-84 anni";4816;4832
"1822";"Catanzaro";"maschi";"85-89 anni";2941;3088
"1823";"Catanzaro";"maschi";"90-94 anni";1078;1090
"1824";"Catanzaro";"maschi";"95-99 anni";227;234
"1825";"Catanzaro";"maschi";"fino a 4 anni";7358;7097
"1826";"Catanzaro";"maschi";"totale";171704;170259
"1827";"Catanzaro";"totale";"10-14 anni";16050;15705
"1828";"Catanzaro";"totale";"100 anni e più";71;81
"1829";"Catanzaro";"totale";"15-19 anni";17515;17203
"1830";"Catanzaro";"totale";"20-24 anni";19058;18637
"1831";"Catanzaro";"totale";"25-29 anni";21416;20499
"1832";"Catanzaro";"totale";"30-34 anni";21842;21227
"1833";"Catanzaro";"totale";"35-39 anni";22301;21940
"1834";"Catanzaro";"totale";"40-44 anni";24277;23691
"1835";"Catanzaro";"totale";"45-49 anni";25591;25181
"1836";"Catanzaro";"totale";"5-9 anni";15129;15025
"1837";"Catanzaro";"totale";"50-54 anni";27315;26815
"1838";"Catanzaro";"totale";"55-59 anni";26477;27049
"1839";"Catanzaro";"totale";"60-64 anni";23905;24172
"1840";"Catanzaro";"totale";"65-69 anni";21380;21781
"1841";"Catanzaro";"totale";"70-74 anni";17836;18798
"1842";"Catanzaro";"totale";"75-79 anni";13852;13644
"1843";"Catanzaro";"totale";"80-84 anni";11623;11568
"1844";"Catanzaro";"totale";"85-89 anni";7985;8202
"1845";"Catanzaro";"totale";"90-94 anni";3381;3434
"1846";"Catanzaro";"totale";"95-99 anni";822;875
"1847";"Catanzaro";"totale";"fino a 4 anni";14239;13817
"1848";"Catanzaro";"totale";"totale";352065;349344
"1849";"Centro";"femmine";"10-14 anni";265433;266166
"1850";"Centro";"femmine";"100 anni e più";2575;2672
"1851";"Centro";"femmine";"15-19 anni";256478;258959
"1852";"Centro";"femmine";"20-24 anni";259793;259219
"1853";"Centro";"femmine";"25-29 anni";288682;283745
"1854";"Centro";"femmine";"30-34 anni";321353;315666
"1855";"Centro";"femmine";"35-39 anni";367768;357748
"1856";"Centro";"femmine";"40-44 anni";449833;430229
"1857";"Centro";"femmine";"45-49 anni";496537;493039
"1858";"Centro";"femmine";"5-9 anni";256717;251154
"1859";"Centro";"femmine";"50-54 anni";505428;503376
"1860";"Centro";"femmine";"55-59 anni";454356;470186
"1861";"Centro";"femmine";"60-64 anni";399223;406342
"1862";"Centro";"femmine";"65-69 anni";363056;363728
"1863";"Centro";"femmine";"70-74 anni";350457;360906
"1864";"Centro";"femmine";"75-79 anni";310209;300611
"1865";"Centro";"femmine";"80-84 anni";265993;272825
"1866";"Centro";"femmine";"85-89 anni";182328;185117
"1867";"Centro";"femmine";"90-94 anni";91777;93038
"1868";"Centro";"femmine";"95-99 anni";25983;27266
"1869";"Centro";"femmine";"fino a 4 anni";218395;210016
"1870";"Centro";"femmine";"totale";6132374;6112008
"1871";"Centro";"maschi";"10-14 anni";282441;283343
"1872";"Centro";"maschi";"100 anni e più";486;514
"1873";"Centro";"maschi";"15-19 anni";276824;277947
"1874";"Centro";"maschi";"20-24 anni";288854;288712
"1875";"Centro";"maschi";"25-29 anni";304702;300615
"1876";"Centro";"maschi";"30-34 anni";323249;318339
"1877";"Centro";"maschi";"35-39 anni";365073;355993
"1878";"Centro";"maschi";"40-44 anni";436643;418491
"1879";"Centro";"maschi";"45-49 anni";476689;473518
"1880";"Centro";"maschi";"5-9 anni";271754;265624
"1881";"Centro";"maschi";"50-54 anni";480193;477438
"1882";"Centro";"maschi";"55-59 anni";424286;440433
"1883";"Centro";"maschi";"60-64 anni";361718;369143
"1884";"Centro";"maschi";"65-69 anni";325092;324834
"1885";"Centro";"maschi";"70-74 anni";301982;311742
"1886";"Centro";"maschi";"75-79 anni";246601;239844
"1887";"Centro";"maschi";"80-84 anni";188629;195700
"1888";"Centro";"maschi";"85-89 anni";104653;107992
"1889";"Centro";"maschi";"90-94 anni";37889;39355
"1890";"Centro";"maschi";"95-99 anni";7463;7997
"1891";"Centro";"maschi";"fino a 4 anni";230889;221510
"1892";"Centro";"maschi";"totale";5736110;5719084
"1893";"Centro";"totale";"10-14 anni";547874;549509
"1894";"Centro";"totale";"100 anni e più";3061;3186
"1895";"Centro";"totale";"15-19 anni";533302;536906
"1896";"Centro";"totale";"20-24 anni";548647;547931
"1897";"Centro";"totale";"25-29 anni";593384;584360
"1898";"Centro";"totale";"30-34 anni";644602;634005
"1899";"Centro";"totale";"35-39 anni";732841;713741
"1900";"Centro";"totale";"40-44 anni";886476;848720
"1901";"Centro";"totale";"45-49 anni";973226;966557
"1902";"Centro";"totale";"5-9 anni";528471;516778
"1903";"Centro";"totale";"50-54 anni";985621;980814
"1904";"Centro";"totale";"55-59 anni";878642;910619
"1905";"Centro";"totale";"60-64 anni";760941;775485
"1906";"Centro";"totale";"65-69 anni";688148;688562
"1907";"Centro";"totale";"70-74 anni";652439;672648
"1908";"Centro";"totale";"75-79 anni";556810;540455
"1909";"Centro";"totale";"80-84 anni";454622;468525
"1910";"Centro";"totale";"85-89 anni";286981;293109
"1911";"Centro";"totale";"90-94 anni";129666;132393
"1912";"Centro";"totale";"95-99 anni";33446;35263
"1913";"Centro";"totale";"fino a 4 anni";449284;431526
"1914";"Centro";"totale";"totale";11868484;11831092
"1915";"Chieti";"femmine";"10-14 anni";8137;8151
"1916";"Chieti";"femmine";"100 anni e più";102;101
"1917";"Chieti";"femmine";"15-19 anni";8191;8083
"1918";"Chieti";"femmine";"20-24 anni";8736;8716
"1919";"Chieti";"femmine";"25-29 anni";9855;9444
"1920";"Chieti";"femmine";"30-34 anni";10408;10317
"1921";"Chieti";"femmine";"35-39 anni";11504;11198
"1922";"Chieti";"femmine";"40-44 anni";13601;13174
"1923";"Chieti";"femmine";"45-49 anni";14923;14713
"1924";"Chieti";"femmine";"5-9 anni";7729;7548
"1925";"Chieti";"femmine";"50-54 anni";15632;15589
"1926";"Chieti";"femmine";"55-59 anni";14242;14564
"1927";"Chieti";"femmine";"60-64 anni";13277;13452
"1928";"Chieti";"femmine";"65-69 anni";12652;12572
"1929";"Chieti";"femmine";"70-74 anni";11287;11883
"1930";"Chieti";"femmine";"75-79 anni";9328;9034
"1931";"Chieti";"femmine";"80-84 anni";8503;8678
"1932";"Chieti";"femmine";"85-89 anni";6283;6311
"1933";"Chieti";"femmine";"90-94 anni";3132;3161
"1934";"Chieti";"femmine";"95-99 anni";874;929
"1935";"Chieti";"femmine";"fino a 4 anni";6727;6557
"1936";"Chieti";"femmine";"totale";195123;194175
"1937";"Chieti";"maschi";"10-14 anni";8536;8630
"1938";"Chieti";"maschi";"100 anni e più";20;20
"1939";"Chieti";"maschi";"15-19 anni";8945;8820
"1940";"Chieti";"maschi";"20-24 anni";9556;9531
"1941";"Chieti";"maschi";"25-29 anni";10283;9994
"1942";"Chieti";"maschi";"30-34 anni";10776;10519
"1943";"Chieti";"maschi";"35-39 anni";11909;11590
"1944";"Chieti";"maschi";"40-44 anni";13651;13232
"1945";"Chieti";"maschi";"45-49 anni";14433;14321
"1946";"Chieti";"maschi";"5-9 anni";8341;8114
"1947";"Chieti";"maschi";"50-54 anni";15034;15005
"1948";"Chieti";"maschi";"55-59 anni";13081;13570
"1949";"Chieti";"maschi";"60-64 anni";12083;12162
"1950";"Chieti";"maschi";"65-69 anni";11822;11515
"1951";"Chieti";"maschi";"70-74 anni";10208;10823
"1952";"Chieti";"maschi";"75-79 anni";7977;7795
"1953";"Chieti";"maschi";"80-84 anni";6411;6645
"1954";"Chieti";"maschi";"85-89 anni";3817;3939
"1955";"Chieti";"maschi";"90-94 anni";1310;1374
"1956";"Chieti";"maschi";"95-99 anni";300;313
"1957";"Chieti";"maschi";"fino a 4 anni";7059;6753
"1958";"Chieti";"maschi";"totale";185552;184665
"1959";"Chieti";"totale";"10-14 anni";16673;16781
"1960";"Chieti";"totale";"100 anni e più";122;121
"1961";"Chieti";"totale";"15-19 anni";17136;16903
"1962";"Chieti";"totale";"20-24 anni";18292;18247
"1963";"Chieti";"totale";"25-29 anni";20138;19438
"1964";"Chieti";"totale";"30-34 anni";21184;20836
"1965";"Chieti";"totale";"35-39 anni";23413;22788
"1966";"Chieti";"totale";"40-44 anni";27252;26406
"1967";"Chieti";"totale";"45-49 anni";29356;29034
"1968";"Chieti";"totale";"5-9 anni";16070;15662
"1969";"Chieti";"totale";"50-54 anni";30666;30594
"1970";"Chieti";"totale";"55-59 anni";27323;28134
"1971";"Chieti";"totale";"60-64 anni";25360;25614
"1972";"Chieti";"totale";"65-69 anni";24474;24087
"1973";"Chieti";"totale";"70-74 anni";21495;22706
"1974";"Chieti";"totale";"75-79 anni";17305;16829
"1975";"Chieti";"totale";"80-84 anni";14914;15323
"1976";"Chieti";"totale";"85-89 anni";10100;10250
"1977";"Chieti";"totale";"90-94 anni";4442;4535
"1978";"Chieti";"totale";"95-99 anni";1174;1242
"1979";"Chieti";"totale";"fino a 4 anni";13786;13310
"1980";"Chieti";"totale";"totale";380675;378840
"1981";"Como";"femmine";"10-14 anni";13949;13956
"1982";"Como";"femmine";"100 anni e più";131;144
"1983";"Como";"femmine";"15-19 anni";13507;13556
"1984";"Como";"femmine";"20-24 anni";13481;13679
"1985";"Como";"femmine";"25-29 anni";14616;14536
"1986";"Como";"femmine";"30-34 anni";15827;15636
"1987";"Como";"femmine";"35-39 anni";18055;17681
"1988";"Como";"femmine";"40-44 anni";22259;21272
"1989";"Como";"femmine";"45-49 anni";24387;24052
"1990";"Como";"femmine";"5-9 anni";13376;13082
"1991";"Como";"femmine";"50-54 anni";25034;25082
"1992";"Como";"femmine";"55-59 anni";21975;22883
"1993";"Como";"femmine";"60-64 anni";18958;19417
"1994";"Como";"femmine";"65-69 anni";18335;18104
"1995";"Como";"femmine";"70-74 anni";16889;17560
"1996";"Como";"femmine";"75-79 anni";14926;14407
"1997";"Como";"femmine";"80-84 anni";12568;13011
"1998";"Como";"femmine";"85-89 anni";8858;8959
"1999";"Como";"femmine";"90-94 anni";4160;4377
"2000";"Como";"femmine";"95-99 anni";1215;1258
"2001";"Como";"femmine";"fino a 4 anni";11674;11250
"2002";"Como";"femmine";"totale";304180;303902
"2003";"Como";"maschi";"10-14 anni";14714;14883
"2004";"Como";"maschi";"100 anni e più";12;9
"2005";"Como";"maschi";"15-19 anni";14529;14565
"2006";"Como";"maschi";"20-24 anni";14963;15044
"2007";"Como";"maschi";"25-29 anni";15598;15540
"2008";"Como";"maschi";"30-34 anni";16223;16297
"2009";"Como";"maschi";"35-39 anni";18438;17861
"2010";"Como";"maschi";"40-44 anni";23005;21900
"2011";"Como";"maschi";"45-49 anni";25156;25115
"2012";"Como";"maschi";"5-9 anni";14384;13925
"2013";"Como";"maschi";"50-54 anni";25753;25683
"2014";"Como";"maschi";"55-59 anni";21512;22505
"2015";"Como";"maschi";"60-64 anni";17648;18250
"2016";"Como";"maschi";"65-69 anni";16888;16487
"2017";"Como";"maschi";"70-74 anni";15188;15912
"2018";"Como";"maschi";"75-79 anni";12227;11965
"2019";"Como";"maschi";"80-84 anni";8807;9273
"2020";"Como";"maschi";"85-89 anni";4615;4851
"2021";"Como";"maschi";"90-94 anni";1518;1601
"2022";"Como";"maschi";"95-99 anni";275;296
"2023";"Como";"maschi";"fino a 4 anni";12174;11778
"2024";"Como";"maschi";"totale";293627;293740
"2025";"Como";"totale";"10-14 anni";28663;28839
"2026";"Como";"totale";"100 anni e più";143;153
"2027";"Como";"totale";"15-19 anni";28036;28121
"2028";"Como";"totale";"20-24 anni";28444;28723
"2029";"Como";"totale";"25-29 anni";30214;30076
"2030";"Como";"totale";"30-34 anni";32050;31933
"2031";"Como";"totale";"35-39 anni";36493;35542
"2032";"Como";"totale";"40-44 anni";45264;43172
"2033";"Como";"totale";"45-49 anni";49543;49167
"2034";"Como";"totale";"5-9 anni";27760;27007
"2035";"Como";"totale";"50-54 anni";50787;50765
"2036";"Como";"totale";"55-59 anni";43487;45388
"2037";"Como";"totale";"60-64 anni";36606;37667
"2038";"Como";"totale";"65-69 anni";35223;34591
"2039";"Como";"totale";"70-74 anni";32077;33472
"2040";"Como";"totale";"75-79 anni";27153;26372
"2041";"Como";"totale";"80-84 anni";21375;22284
"2042";"Como";"totale";"85-89 anni";13473;13810
"2043";"Como";"totale";"90-94 anni";5678;5978
"2044";"Como";"totale";"95-99 anni";1490;1554
"2045";"Como";"totale";"fino a 4 anni";23848;23028
"2046";"Como";"totale";"totale";597807;597642
"2047";"Cosenza";"femmine";"10-14 anni";15099;15009
"2048";"Cosenza";"femmine";"100 anni e più";121;138
"2049";"Cosenza";"femmine";"15-19 anni";16031;15926
"2050";"Cosenza";"femmine";"20-24 anni";17188;16687
"2051";"Cosenza";"femmine";"25-29 anni";20307;19324
"2052";"Cosenza";"femmine";"30-34 anni";21356;21005
"2053";"Cosenza";"femmine";"35-39 anni";22160;21617
"2054";"Cosenza";"femmine";"40-44 anni";24614;23936
"2055";"Cosenza";"femmine";"45-49 anni";26782;26120
"2056";"Cosenza";"femmine";"5-9 anni";14256;14002
"2057";"Cosenza";"femmine";"50-54 anni";28041;27856
"2058";"Cosenza";"femmine";"55-59 anni";26847;27467
"2059";"Cosenza";"femmine";"60-64 anni";24196;24675
"2060";"Cosenza";"femmine";"65-69 anni";21844;21978
"2061";"Cosenza";"femmine";"70-74 anni";18414;19589
"2062";"Cosenza";"femmine";"75-79 anni";15009;14477
"2063";"Cosenza";"femmine";"80-84 anni";13911;13998
"2064";"Cosenza";"femmine";"85-89 anni";9799;9824
"2065";"Cosenza";"femmine";"90-94 anni";4362;4454
"2066";"Cosenza";"femmine";"95-99 anni";1149;1229
"2067";"Cosenza";"femmine";"fino a 4 anni";13385;13076
